公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
新智元,2025-03-18 15:30:12,全球首个工业界多模态推理模型开源！38B硬刚DeepSeek-R1，训练秘籍全公开,全球首个工业界开源多模态推理模型Skywork R1V发布,昆仑万维推出全球首个工业界开源多模态推理模型Skywork R1V，参数达到38B，性能接近DeepSeek-R1。R1V在视觉问答和复杂推理任务中表现优异，创下多个基准测试的新高。该模型通过跨模态迁移学习有效结合文本与视觉推理能力，推动了多模态领域的技术进步。R1V的开源旨在促进技术共享，助力AGI的实现。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/CYNce3oHoDrsOJSv5Pj6Nw
新智元,2025-03-18 15:30:12,CEAI 2025中国具身智能大会倒计时10天！著名院士领衔演讲，3天18场顶级论坛,CEAI 2025中国具身智能大会即将召开,CEAI 2025中国具身智能大会将于2025年3月28日至30日在北京举行，届时将有18场重磅学术论坛和多位院士的主旨演讲。大会由中国人工智能学会主办，涵盖生物启发的智能机器人、生成式AI与具身智能的融合等多个领域。参与机构包括清华大学、北京大学等顶尖学府及多家创新企业，旨在探讨具身智能的前沿科技及其在各行业的应用。,Embodied AI,Other,"谭铁牛, 王耀南, 郭雷",https://mp.weixin.qq.com/s/bTOzaS5THVRt6uj4zvkkVA
机器之心,2025-03-18 14:15:18,超越DeepSeek GRPO的关键RL算法，字节、清华AIR开源DAPO,字节与清华AIR开源DAPO算法的研究进展,本文介绍了字节跳动与清华大学人工智能研究院联合开源的DAPO（Dynamic Adaptive Policy Optimization）算法，该算法在强化学习领域超越了DeepSeek GRPO。文章详细阐述了DAPO的核心技术及其在智能体学习中的应用潜力，强调了该算法在动态环境中的适应性和效率，展示了其在实际应用中的前景。,Agent,"ByteDance, THU",None,https://mp.weixin.qq.com/s/_w_HtjNQiG-yP5LEN85o0Q
机器之心,2025-03-18 14:15:18,先别骂队友，上交如何让DeepSeek R1在分手厨房再也不糊锅？,基于Overcooked的实时人机协作智能体研究,本文探讨了如何通过DPT-Agent框架实现大模型与人类的实时同步协作，特别是在复杂的多人协作游戏《Overcooked》中。研究者们通过引入动态分工和预判式协作机制，提升了智能体在实时环境中的响应能力，推动了人智协同与多智能体系统的研究。文章由上海交通大学SJTU-MARL实验室与AGI-Eval评测社区联合撰写，强调了在现实应用中大模型与人类协作的重要性。,Agent,Other,"温颖, 张伟楠, Stuart Russell, Pieter Abbeel",https://mp.weixin.qq.com/s/dT9KQmebVJX0ewkzJmisPg
量子位,2025-03-18 19:53:56,速抢席位！在中国AIGC产业峰会现场，一起深度求索AI怎么用 ⁉️ 首批嘉宾已曝光,中国AIGC产业峰会即将召开，聚焦AI应用与发展,中国AIGC产业峰会将于4月16日在北京举行，主题为「万物皆可AI」。此次峰会旨在探讨AI的应用与发展，汇聚了多位行业领军人物，包括百度副总裁阮瑜、无问芯穹CEO夏立雪等。随着大模型技术的进步，AI在各行各业的应用不断扩展，峰会将为与会者提供深入交流与学习的机会，推动AI技术的落地与普及。,Agent,Other,"阮瑜, 夏立雪, 谭李, 喻友平, 姚欣, 田天, 陈建华",https://mp.weixin.qq.com/s/dyZt4Rx28Oew8Sic92m-2A
量子位,2025-03-18 19:53:56,马斯克进军AI视频，收购视频生成初创公司，4人13个月打造类Sora模型,马斯克收购视频生成初创公司Hotshot，布局AI视频领域,马斯克的xAI最近收购了视频生成初创公司Hotshot，该公司由4人团队在13个月内开发出3个视频生成模型。Hotshot最初专注于图片生成，后来转向视频生成，成功推出了多个模型。此次收购标志着马斯克希望通过自研视频生成技术与OpenAI和谷歌等公司展开竞争。Hotshot团队的创始人曾在视频聊天和视觉通讯领域有过尝试，最终决定开发更具控制权的视频生成模型。,Other,Other,"Aakash Sastry, John Mullan, Alexis Ohanian",https://mp.weixin.qq.com/s/DgYseRVqfOy8_HvZC5aFbg
量子位,2025-03-18 19:53:56,DeepSeek让英伟达H20都被疯抢，但AI推理爆发不只靠囤卡,DeepSeek推动AI推理需求爆发与算力市场变化,本文探讨了DeepSeek的算法创新如何重构AI算力逻辑，推动AI计算从训练向推理转变。英伟达H20显卡因DeepSeek的热潮而需求激增，尽管其性能不及H100，但在推理任务中表现出色。DeepSeek开源的模型通过混合专家架构和强化学习显著提升了推理效率，满足了日益增长的AI推理需求，改变了算力市场的格局。文章还分析了未来推理计算的趋势及其对行业的深远影响。,LLM,Other,"姚欣, 黄仁勋",https://mp.weixin.qq.com/s/WRF1SqubQtC-alqnzNgueA
量子位,2025-03-18 19:53:56,北大人形机器人智能体 Being-0：互联网视频+少量真机数据，迈向自主具身智能,北大人形机器人智能体 Being-0 的自主具身智能研究,北京大学卢宗青团队提出的Being-0是首个集运动、导航和灵巧操作于一体的人形机器人智能体。该研究采用模块化的分层端到端架构，结合互联网视频和少量真机数据，实现了机器人在复杂环境中的自主任务规划与执行。Being-0通过视觉语言模型和技能库的协同作用，显著提高了任务成功率，展现了人类级别的灵巧操作能力，为人形机器人在现实生活中的应用奠定了基础。,Embodied AI,PKU,None,https://mp.weixin.qq.com/s/pa3FTxlBUhMjJI4QY4iOEw
量子位,2025-03-18 19:53:56,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘启事，寻求对AI大模型、具身智能、终端硬件及AI新媒体编辑感兴趣的原创作者。岗位包括全职编辑和实习生，工作地点在北京中关村。应聘者需具备相关领域的热情与能力，能够撰写深度文章、分析行业动态，并参与内容运营。量子位提供竞争力的薪资待遇及职业发展机会，欢迎志同道合的伙伴加入。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/fIx_DirExHJ4lJ4m4Q2zmg
量子位,2025-03-18 19:53:56,你正在做的大模型评测，可能有一半都是无用功 | 上海AI Lab&上交&浙大出品,大模型评测的有效性分析,本文探讨了当前大模型评测方法的有效性，指出许多评测可能存在无效或误导性的问题。通过对上海AI Lab、上交和浙大的研究成果进行分析，作者强调了在评测过程中需要更加严谨和科学的方法，以确保评测结果的可靠性和实用性。文章还提出了一些改进建议，旨在提升大模型评测的整体质量。,LLM,Shanghai AI Lab,None,https://mp.weixin.qq.com/s/-ZJ2eUm4KxTMLzWgTC9cfg
新智元,2025-03-18 18:35:13,AI真·抢饭碗？美国码农就业跌至1980年以来最低，重回「吃豆人」时代,美国程序员就业人数降至1980年以来最低水平，AI影响显著,随着人工智能技术的崛起，美国程序员的就业人数已降至1980年以来的最低水平。根据劳工统计局的数据，自2023年以来，程序员年均就业人数骤降27.5%，这一趋势与OpenAI推出ChatGPT的时间高度吻合。尽管AI在某些编码任务上展现出强大能力，但专家认为人类程序员依然不可或缺。与此同时，亚马逊计划裁掉1.4万管理岗位，进一步反映出AI对科技行业的深远影响。,Other,"OpenAI, Meta, Amazon","Mark Muro, Arvind Krishna, Dario Amodei, Andy Jassy",https://mp.weixin.qq.com/s/tKFxsguyalJJmMTuKAm9HQ
机器之心,2025-03-18 15:35:10,单个4090就能跑，Mistral开源多模态小模型，开发者：用来构建推理模型足够香,Mistral开源多模态小模型在单个4090上运行,Mistral AI近日开源了其新款24B多模态小模型Mistral Small 3.1，该模型在多个基准测试中超越了Gemma 3和GPT-4o Mini，推理速度达到150个token/秒。该模型可在单个RTX 4090或32GB RAM的Mac上运行，适合多种生成式AI任务，包括对话辅助和图像理解。Mistral Small 3.1采用Apache 2.0开源协议，支持研究和商业应用，已吸引开发者进行部署和微调。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/t173XAigACpw9NWPePhUUQ
机器之心,2025-03-18 15:35:10,本地也能运行Deep Research！支持arXiv平台，兼容PDF、Markdown等,本地运行的Deep Research系统及其功能分析,本文介绍了OpenAI推出的Deep Research系统的本地运行版本，该系统能够根据用户需求进行信息检索、整合和深度分析，保护用户隐私。新版本支持多种文档格式和云端大语言模型，具备自动追踪引用、智能分析搜索源等功能，旨在为用户提供全面的研究支持。项目已在GitHub上获得1.4k star，用户可根据需求定制AI模型以优化研究效果。,Agent,OpenAI,None,https://mp.weixin.qq.com/s/U5lXj0lhMR6x_Wy3GHpNfQ
机器之心,2025-03-18 15:35:10,多模态也做到了强推理！工业界首个开源的R1V，让视觉思考进入o1时代,昆仑万维发布开源多模态推理模型R1V,昆仑万维于2025年3月18日发布了Skywork R1V系列模型，成为国内首个开源多模态思维链推理模型。R1V在视觉推理和通用推理能力上达到了SOTA水平，尤其在数学推理和逻辑推理任务中表现优异。该模型能够同时处理文本与视觉信息，展现出强大的跨模态推理能力，拓展了AI应用的多种可能性。R1V的技术创新使其在多模态推理领域取得了重要突破。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/IPPDuApVVKNJffAZcJqFRA
机器之心,2025-03-18 15:35:10,深度学习的平衡之道：港科大、港城大等团队联合发布多目标优化最新综述,深度学习中的多目标优化综述,本文综述了多目标优化在深度学习中的应用，特别是在多任务学习和大语言模型的多维度价值对齐方面。来自香港科技大学、香港城市大学及UIUC的研究团队探讨了如何在复杂需求下平衡多个目标，介绍了基于梯度的多目标优化算法及其理论与应用，强调了该领域在解决现实问题中的重要性。,Other,Other,"陈巍昱, 张霄远, 林百炅, 林熙, 赵晗, 张青富, 郭天佑",https://mp.weixin.qq.com/s/02EUbz4NHbafqctxToHYAA
