标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"Cosmos-Transfer1: Conditional World Generation with Adaptive Multimodal
  Control",Cosmos-Transfer1：具有自适应多模态控制的条件世界生成,Other,Other,https://arxiv.org/pdf/2503.14492,https://huggingface.co/papers/2503.14492,本文介绍了Cosmos-Transfer1，一个条件性世界生成模型，能够基于多种空间控制输入（如分割、深度和边缘）生成世界模拟。该模型采用自适应和可定制的空间条件方案，允许在不同空间位置对输入进行加权，从而实现高度可控的世界生成。Cosmos-Transfer1在物理人工智能领域具有广泛应用，包括机器人仿真与现实转化（Sim2Real）和自动驾驶数据增强。论文还展示了一种推理缩放策略，以实现实时世界生成，并开源了相关模型和代码，促进该领域的研究发展。,5
Measuring AI Ability to Complete Long Tasks,测量人工智能完成长任务的能力,Other,Other,https://arxiv.org/pdf/2503.14499,https://huggingface.co/papers/2503.14499,本论文提出了一种新的指标——50%-任务完成时间范围，以量化人工智能（AI）系统在长任务完成能力上的表现。研究显示，当前前沿AI模型如Claude 3.7 Sonnet在特定任务上的50%时间范围约为50分钟，并且自2019年以来，该时间范围每七个月大约翻倍。AI能力的提升主要归因于更高的可靠性、错误适应能力以及逻辑推理和工具使用能力的增强。研究还探讨了这些结果的局限性及其对AI自主性和潜在危险能力的影响，预测未来五年内AI将能够自动化许多目前需要人类一个月完成的软件任务。,4
Temporal Consistency for LLM Reasoning Process Error Identification,大语言模型推理过程错误识别的时间一致性,LLM,Other,https://arxiv.org/pdf/2503.14495,https://huggingface.co/papers/2503.14495,本论文提出了一种新的时间一致性方法，用于识别大型语言模型（LLM）在数学推理过程中的错误。该方法通过迭代自我反思，逐步改善判断，提升验证准确性，与传统的一轮验证或多模型辩论方法不同。实验结果表明，在多个数学过程错误识别基准（如Mathcheck、ProcessBench和PRM800K）上，该方法显著优于基线模型。特别是，当应用于最新的DeepSeek R1精简模型时，7B/8B模型的表现超过了所有70B/72B模型和GPT-4o。该研究为提高LLM的推理能力提供了有效的解决方案。,4
"PEBench: A Fictitious Dataset to Benchmark Machine Unlearning for
  Multimodal Large Language Models",PEBench：用于评估多模态大语言模型机器遗忘的虚构数据集,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.12545,https://huggingface.co/papers/2503.12545,本论文提出了PEBench，一个用于评估多模态大型语言模型（MLLMs）机器遗忘（MU）能力的基准数据集。随着MLLMs在视觉问答和推理等任务中的进展，隐私和安全问题日益突出。机器遗忘作为一种解决方案，可以在不重新训练模型的情况下，移除特定知识。尽管MU的研究逐渐受到关注，但现有评估仍不完善。PEBench通过提供包含个人实体和一般事件场景的数据集，旨在为MU的研究提供一个标准化的框架。研究中对六种MU方法进行基准测试，揭示了它们的优缺点，并指出了MLLMs中MU面临的关键挑战和机遇。,4
"Reflect-DiT: Inference-Time Scaling for Text-to-Image Diffusion
  Transformers via In-Context Reflection",Reflect-DiT：通过上下文反射进行文本到图像扩散变换器的推理时间扩展,Diffusion Model,Other,https://arxiv.org/pdf/2503.12271,https://huggingface.co/papers/2503.12271,本文提出了一种新方法Reflect-DiT，用于提升文本到图像扩散模型的推理性能。与传统的训练时间扩展方法不同，Reflect-DiT通过引入上下文反思能力，允许模型在生成过程中利用先前生成的图像和文本反馈进行自我改进，而不是依赖随机采样。实验结果表明，Reflect-DiT在GenEval基准测试中取得了0.81的最高得分，显著优于之前的最佳结果，同时仅需生成20个样本，展现了其在推理时间扩展方面的优势。这一方法为文本到图像生成提供了更高效的解决方案。,2
Concat-ID: Towards Universal Identity-Preserving Video Synthesis,Concat-ID：面向通用身份保留的视频合成,Other,THU,https://arxiv.org/pdf/2503.14151,https://huggingface.co/papers/2503.14151,本文提出了Concat-ID，一个用于身份保留视频生成的统一框架。该方法利用变分自编码器提取图像特征，并通过3D自注意力机制将其与视频潜在特征结合，省去额外模块。引入了一种新的跨视频配对策略和多阶段训练方案，以平衡身份一致性和面部可编辑性，同时提升视频的自然性。实验结果表明，Concat-ID在单一和多重身份生成方面均优于现有方法，并能够无缝扩展到多主体场景，如虚拟试穿和背景可控生成。该框架为身份保留视频合成设立了新的基准，适用于多种应用场景。,2
"Florenz: Scaling Laws for Systematic Generalization in Vision-Language
  Models",Florenz：视觉-语言模型系统性泛化的规模法则,Multimodal LLM,Other,https://arxiv.org/pdf/2503.09443,https://huggingface.co/papers/2503.09443,本文提出了Florenz，一个用于视觉语言模型（VLM）的单语编码解码器，旨在解决多语言任务中的系统性泛化问题。通过研究模型规模和训练样本对性能的影响，Florenz结合了预训练的VLM Florence-2和大型语言模型Gemma-2，参数范围从4亿到112亿。研究表明，Florenz能够在仅有翻译任务数据的情况下，成功生成特定语言的图像描述，并在多模态机器翻译、词汇消歧和图像描述等下游任务中展现出竞争力的性能和良好的扩展趋势。这为多语言视觉任务的普遍可及性提供了新的思路。,2
"KUDA: Keypoints to Unify Dynamics Learning and Visual Prompting for
  Open-Vocabulary Robotic Manipulation",KUDA：通过关键点统一动态学习和视觉提示的开放词汇机器人操作,Embodied AI,Other,https://arxiv.org/pdf/2503.10546,https://huggingface.co/papers/2503.10546,本文介绍了KUDA，一种开放词汇的机器人操控系统，旨在将动态学习与视觉提示相结合。KUDA通过关键点的方式，利用视觉语言模型（VLM）和学习型动态模型，实现对复杂任务的高效处理。该系统根据语言指令和视觉观察，首先在环境中标定关键点，随后生成目标规格并将其转化为成本函数，以优化机器人轨迹。经过多种操控任务的评估，KUDA展示了其在多对象交互及处理不同物体类型（如可变形和颗粒状物体）方面的有效性。该研究为开放词汇机器人系统的发展提供了新的视角。,1
"RoCo-Sim: Enhancing Roadside Collaborative Perception through Foreground
  Simulation",RoCo-Sim：通过前景模拟增强路边协作感知,Other,Other,https://arxiv.org/pdf/2503.10410,https://huggingface.co/papers/2503.10410,本文提出了RoCo-Sim，一个用于增强路边协作感知的模拟框架，旨在解决现有方法中存在的数据问题，如校准误差和信息稀疏。RoCo-Sim通过动态前景编辑和全场景风格转移技术，生成多视角一致的模拟数据。该框架包含四个关键组件，确保准确的3D到2D投影、优化数字资产的空间分布、建模前景与背景的关系，并通过后处理工具提升场景的真实感。实验结果显示，RoCo-Sim在路边3D物体检测中显著超越现有方法，为路边感知模拟填补了重要空白。,1
"Pensez: Less Data, Better Reasoning -- Rethinking French LLM",Pensez: 更少的数据，更好的推理——重新思考法语大语言模型,LLM,Other,https://arxiv.org/pdf/2503.13661,https://huggingface.co/papers/2503.13661,本文探讨了一种新方法，通过在小规模高质量的双语（英法）数据集上进行战略性微调，提升大型语言模型（LLM）在数学推理和法语能力上的表现。研究表明，仅用2000个精心挑选的样本，Pensez 7B在AIME25测试中准确率提高了20%，在法语MATH 5级基准上提高了12%。这些结果挑战了对大规模数据集是强推理性能必要条件的传统看法，强调了数据策划和优化训练的潜力。这一发现为在资源有限的情况下高效开发多语言LLM提供了新的视角。,1
Hyperbolic Safety-Aware Vision-Language Models,超曲面安全意识视觉语言模型,Multimodal LLM,Other,https://arxiv.org/pdf/2503.12127,https://huggingface.co/papers/2503.12127,本论文提出了一种新的超曲面安全意识视觉语言模型HySAC，旨在改善现有模型在处理不安全内容时的能力。传统的去学习技术虽然能减少不当输出，但限制了模型区分安全与不安全内容的能力。HySAC通过利用超曲面空间的层次结构，将安全和不安全内容编码为包含不同区域的蕴涵层次，采用蕴涵损失函数建模图像-文本对之间的非对称关系。这种方法不仅增强了安全识别能力，还为内容审核提供了更灵活和可解释的框架，能够动态调整不安全查询的输出。实验结果表明，该方法在内容安全性和模型适应性方面具有显著提升。,1
