标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
AccVideo: Accelerating Video Diffusion Model with Synthetic Dataset,AccVideo：利用合成数据集加速视频扩散模型,Diffusion Model,Shanghai AI Lab,https://arxiv.org/pdf/2503.19462,https://huggingface.co/papers/2503.19462,本论文提出了一种名为AccVideo的新方法，旨在加速视频扩散模型的生成过程。传统的扩散模型需要大量推理步骤，导致生成速度慢且计算成本高。AccVideo通过生成合成数据集，利用预训练的视频扩散模型创建有效的去噪轨迹，从而减少了不必要的数据点。该方法采用基于轨迹的少步引导技术，提升了视频生成的效率，并引入对抗训练策略以改善视频质量。实验结果表明，AccVideo在生成速度上比教师模型提高了8.5倍，同时保持了相似的生成质量，能够生成更高分辨率的视频。,5
"LogQuant: Log-Distributed 2-Bit Quantization of KV Cache with Superior
  Accuracy Preservation",LogQuant：具有卓越准确性保留的KV缓存的对数分布2位量化,LLM,Other,https://arxiv.org/pdf/2503.19950,https://huggingface.co/papers/2503.19950,本文介绍了LogQuant，一种创新的2位量化技术，旨在优化大语言模型（LLM）推理中的KV缓存。LogQuant通过采用基于对数的过滤机制，选择性地压缩KV缓存，从而在保持或减少内存占用的同时，实现更优的性能。与传统方法相比，LogQuant在基准测试中提升了25%的吞吐量和60%的批量大小，同时在数学和代码补全等复杂任务中，准确率提高了40%至200%。该技术与流行的推理框架（如Python的transformers库）无缝集成，具有显著的实用价值。,5
ViLBench: A Suite for Vision-Language Process Reward Modeling,ViLBench：一种用于视觉-语言过程奖励建模的套件,Multimodal LLM,Amazon,https://arxiv.org/pdf/2503.20271,https://huggingface.co/papers/2503.20271,本文介绍了ViLBench，一个针对视觉-语言过程奖励建模的基准套件。研究首先对当前的视觉大型语言模型（VLLMs）进行了评估，发现输出奖励模型（ORMs）和过程奖励模型（PRMs）在不同任务中的表现不一，且更强的VLLMs并不一定带来更好的奖励性能。为填补这一评估空白，ViLBench被设计为需要密集过程奖励信号的基准，显著挑战现有模型。通过收集73.6K的视觉-语言过程奖励数据，研究展示了一种提高模型表现的潜在方法，最终实现了对标准模型的平均提升。相关代码和数据已公开。,4
Attention IoU: Examining Biases in CelebA using Attention Maps,注意力IoU：使用注意力图检查CelebA中的偏见,Other,Other,https://arxiv.org/pdf/2503.19846,https://huggingface.co/papers/2503.19846,本论文提出了Attention-IoU（注意力交并比）指标，用于揭示计算机视觉模型中的偏见，尤其是在CelebA数据集中的表现。与现有的偏见量化方法不同，Attention-IoU通过分析模型的注意力图，识别出潜在的偏见来源和图像特征。研究首先在合成的Waterbirds数据集上验证了该指标的有效性，随后分析了CelebA数据集，发现其揭示的偏见超出了准确性差异。通过对男性属性的深入调查，研究展示了偏见的多样性，并通过调整训练集的属性相关性，揭示了数据标签中未包含的潜在混杂变量。这一工作为理解和缓解模型偏见提供了新的视角。,4
"ADS-Edit: A Multimodal Knowledge Editing Dataset for Autonomous Driving
  Systems",ADS-Edit：用于自主驾驶系统的多模态知识编辑数据集,Multimodal LLM,Other,https://arxiv.org/pdf/2503.20756,https://huggingface.co/papers/2503.20756,本论文提出了ADS-Edit，一个专为自动驾驶系统（ADS）设计的多模态知识编辑数据集，以应对大型多模态模型在实际应用中面临的挑战，如交通知识误解、复杂的道路条件和车辆运动状态多样性。通过知识编辑技术，该方法允许在不进行全面重训练的情况下，对模型行为进行有针对性的修改。数据集包含多种真实场景和数据类型，并提供全面的评估指标。研究结果表明，该方法在提升自动驾驶系统的知识更新能力方面具有潜在价值，促进了知识编辑在该领域的应用发展。,3
"Beyond Words: Advancing Long-Text Image Generation via Multimodal
  Autoregressive Models",超越文字：通过多模态自回归模型推进长文本图像生成,Multimodal LLM,Microsoft,https://arxiv.org/pdf/2503.20198,https://huggingface.co/papers/2503.20198,该论文首次专注于长文本图像生成，解决了现有文本到图像系统在处理长段落时的不足。研究者提出了一种新的文本聚焦二进制分词器，优化了长文本特征的捕捉。基于此，开发了名为LongTextAR的多模态自回归模型，能够高质量生成长文本图像，具备良好的可控性，支持字体样式、大小、颜色和对齐方式的定制。实验结果表明，LongTextAR在生成准确、一致和灵活的长文本方面显著优于现有模型。该模型的创新为文档和幻灯片生成等新应用提供了广阔的可能性。,3
"Self-Supervised Learning of Motion Concepts by Optimizing
  Counterfactuals",通过优化反事实进行运动概念的自监督学习,Other,Other,https://arxiv.org/pdf/2503.19953,https://huggingface.co/papers/2503.19953,本论文提出了一种名为Opt-CWM的自监督学习方法，用于从视频中估计运动和遮挡，克服了依赖合成数据和特定启发式调优的传统方法的局限性。Opt-CWM通过优化反事实探针，从预训练的下一帧预测模型中提取运动信息，避免了固定启发式的需求，并能够在无标签数据的情况下，处理多样化的视频输入。实验结果表明，该方法在真实视频的运动估计任务中达到了最先进的性能，展示了自监督学习在计算机视觉领域的潜力。,2
Sparse Logit Sampling: Accelerating Knowledge Distillation in LLMs,稀疏Logit采样：加速大语言模型中的知识蒸馏,LLM,Other,https://arxiv.org/pdf/2503.16870,https://huggingface.co/papers/2503.16870,本论文提出了一种名为“随机采样知识蒸馏”的新方法，以加速大语言模型（LLMs）的知识蒸馏过程。研究发现，传统的稀疏知识蒸馏方法（如缓存Top-K概率）会导致教师概率分布的偏差，从而影响学生模型的性能和校准。新方法通过重要性采样提供无偏估计，保留期望梯度，并显著减少所需存储的logits量。与交叉熵训练相比，该方法在训练学生模型时仅增加少于10%的开销，同时在300M到3B规模的模型中保持竞争力的性能。这为大语言模型的高效训练提供了新的思路。,2
DINeMo: Learning Neural Mesh Models with no 3D Annotations,DINeMo：无3D标注学习神经网格模型,Embodied AI,Other,https://arxiv.org/pdf/2503.20220,https://huggingface.co/papers/2503.20220,论文提出了DINeMo，一种新型的神经网格模型，能够在没有3D注释的情况下进行类别级3D/6D姿态估计。通过利用大型视觉基础模型生成的伪对应关系，DINeMo采用双向生成方法，结合局部外观特征和全局上下文信息，显著提高了对部分遮挡和领域转移的鲁棒性。实验结果表明，DINeMo在汽车数据集上的表现超越了以往的零样本和少样本3D姿态估计，缩小了与完全监督方法的差距达67.3%。此外，DINeMo在训练过程中有效整合更多未标记图像，展示了其在不依赖3D注释的情况下的优越性和可扩展性。,2
"Image as an IMU: Estimating Camera Motion from a Single Motion-Blurred
  Image",图像作为IMU：从单幅运动模糊图像估计相机运动,Other,Other,https://arxiv.org/pdf/2503.17358,https://huggingface.co/papers/2503.17358,本论文提出了一种新颖的方法，通过单张运动模糊图像估计相机运动，解决了快速相机运动导致的模糊问题。该方法利用运动模糊作为运动估计的有效线索，直接预测密集的运动流场和单目深度图。通过在小运动假设下求解线性最小二乘问题，恢复瞬时相机速度。研究团队构建了一个大型合成数据集，并在真实数据上进行了端到端训练。实验结果表明，该方法在角速度和位移估计上超越了现有技术，如MASt3R和COLMAP，展现了其在机器人和虚拟现实应用中的潜在价值。,1
"PathoHR: Breast Cancer Survival Prediction on High-Resolution
  Pathological Images",PathoHR：基于高分辨率病理图像的乳腺癌生存预测,Other,Other,https://arxiv.org/pdf/2503.17970,https://huggingface.co/papers/2503.17970,本文介绍了PathoHR，一个用于乳腺癌生存预测的新型管道，旨在解决肿瘤异质性带来的挑战。该方法通过引入高分辨率的视觉变换器（ViT），增强了病理全切片图像（WSIs）的特征提取能力。研究表明，采用该管道的小图像块能够在预测准确性上与较大图像块相当或更优，同时显著降低计算负担。PathoHR的实验结果表明，它在提高图像分辨率与优化特征学习的结合方面，提供了一种前景广阔的解决方案，为乳腺癌生存预测的准确性和效率提升开辟了新方向。,0
"UniHDSA: A Unified Relation Prediction Approach for Hierarchical
  Document Structure Analysis",UniHDSA：一种用于层次文档结构分析的统一关系预测方法,Other,Microsoft,https://arxiv.org/pdf/2503.15893,https://huggingface.co/papers/2503.15893,本论文提出了一种统一的关系预测方法UniHDSA，用于层次文档结构分析（HDSA），旨在恢复使用层次化模式创建的文档的结构。与以往研究专注于单一子任务不同，UniHDSA将多个HDSA子任务视为关系预测问题，并将预测标签整合到统一的标签空间中，从而实现单一模块同时处理多个任务。通过基于Transformer架构的端到端系统，实验结果表明，该方法在层次文档结构分析基准Comp-HRDoc上达到了最先进的性能，并在大规模文档布局分析数据集DocLayNet上表现出竞争力，展示了其在各子任务中的优越性。,0
