公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
量子位,2025-03-21 12:06:28,GPT-5将免费向用户开放，DeepSeek逼的,GPT-5将免费向用户开放，DeepSeek的启示,在与知名科技博主Ben Thompson的访谈中，OpenAI的CEO Sam Altman谈到了DeepSeek对OpenAI的影响，强调了竞争环境下的用户获取策略。Altman透露，未来的GPT-5将向免费用户开放，并探讨了OpenAI的商业模式和潜在的盈利策略。他认为，DeepSeek的成功提醒了OpenAI在思维链透明度上的不足，同时也反映了大型科技公司在用户增长方面面临的挑战。,LLM,OpenAI,"Sam Altman, Ben Thompson",https://mp.weixin.qq.com/s/SyY4nTYlCgDBN25vEB9sBw
量子位,2025-03-21 12:06:28,Nature发文「智能体摩尔定律」，Agent能力每7个月翻倍，5年后能顶人类苦干一个月的工作,智能体摩尔定律：AI能力每七个月翻倍,根据Nature发表的研究，非营利机构METR发现AI智能体在完成长期任务方面的能力每七个月翻一番。研究提出了“50%-任务完成时间跨度”这一指标，以衡量AI在任务成功率达到50%时所需的时间。通过对2019年至2025年间的多个AI模型进行评估，研究表明AI在任务完成能力上呈现指数级增长，预计五年后AI能自动完成许多人类一个月的工作量。,Agent,Other,Lawrence Chan,https://mp.weixin.qq.com/s/fa_91V45lz6GAGddgqQgBA
新智元,2025-03-21 11:01:59,Claude突获「超能力」！Anthropic上线实时网络搜索，逆袭OpenAI和谷歌？,Claude AI实现实时网络搜索功能,Anthropic宣布其AI助手Claude现已具备实时网络搜索功能，用户可以获取最新的网络资讯并附上来源。这一功能的推出使Claude在与OpenAI和Google等竞争对手的比较中缩小了差距。尽管Claude在网络搜索方面较晚跟进，但其新功能在编程、金融分析和研究等领域的应用潜力巨大。用户现在可以通过Claude获取更准确的实时信息，提升决策效率。未来，Claude可能会推出更深层次的研究功能。,LLM,OpenAI,Dario Amodei,https://mp.weixin.qq.com/s/F_VYv7AdPQHFWOIXP9zYqA
机器之心,2025-03-21 17:26:06,火了！高中生用Minecraft做AI基准，用户看图投票决定大模型排名,高中生利用Minecraft进行AI基准测试,一名高中生Adi Singh创建了Minecraft Benchmark（MC-Bench），通过用户投票评估不同AI模型在Minecraft中的表现。该基准测试关注指令遵循、代码完成度和创造力，允许用户通过投票参与模型排名。MC-Bench旨在提供一种新颖的方式来测试AI性能，尤其是在3D空间理解和创造力方面。该项目得到了OpenAI、谷歌、阿里等公司的支持，并计划最终开放数据供研究人员使用。,Other,"Google, OpenAI, Alibaba",Adi Singh,https://mp.weixin.qq.com/s/P2qPb_4rookONtuT31g01A
机器之心,2025-03-21 17:26:06,ICLR 2025北京论文分享会启动，一起探讨多模态、Agent等热门话题,ICLR 2025北京论文分享会启动,随着大模型时代的到来，AI领域的研究成果层出不穷。为帮助从业者快速了解最新科研动态，机器之心将在2025年4月20日于北京举办ICLR 2025论文分享会，邀请顶级专家和论文作者进行学术交流。此次活动将包括Keynote演讲、论文分享、圆桌对话及Poster展示，重点讨论多模态和Agent等热门话题。参与者可通过线上直播平台观看活动，期待广泛的学术参与。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/C_B7AjLcn0ABXWJIZPM4bg
新智元,2025-03-21 15:27:57,宇宙也有智能？智能体不但是AI领域核心，更可能引发科学范式重大变革！,智能体作为宇宙基本构成单元的理论探讨,中国科学院大学的研究团队提出了一种新观点，认为智能体不仅是人工智能领域的核心概念，可能也是构成宇宙的基本单元。这一理论挑战了传统的科学理解，认为宇宙是一个不断演化的智能体，能够为基础科学带来重要的理论突破。研究指出，智能体的统一视角可能有助于解决物理学和科技哲学中的许多基础难题，并为理解智能和意识的本质提供新的思路。,Agent,Other,None,https://mp.weixin.qq.com/s/rfmMtIaSE-5XkVD12iCPsg
新智元,2025-03-21 15:27:57,AI智能体全新摩尔定律震撼诞生：AI研发能力每7个月翻一番！五年替代人类开发团队？,AI智能体的全新摩尔定律及其影响,METR研究所发现了一条全新的AI智能体摩尔定律，表明AI完成任务的能力每7个月翻一番。研究表明，若这一趋势持续，未来五年内AI将能够独立完成目前需要人类数天甚至数周的开发任务。该研究通过设计170个真实任务，建立了人类基准线，并提出了以任务长度衡量AI性能的新方法。这一发现引发了AI社区的广泛关注与讨论。,Agent,Other,None,https://mp.weixin.qq.com/s/vzak6hm58b4d1Ikwnj8KWQ
量子位,2025-03-21 14:37:02,清华&哈佛4D语言场建模新方法，动态场景精准识别｜CVPR2025,清华与哈佛联合提出4D语言场建模新方法,本文介绍了一种由清华大学和哈佛大学研究团队提出的4D LangSplat方法，该方法旨在建模动态场景中的4D语言场，以实现开放式的时间敏感语言查询。通过结合动态三维高斯泼溅技术和状态变化网络，4D LangSplat能够高效重建动态语义场，克服现有方法在动态场景建模中的局限性。这一创新为机器人导航、3D场景编辑等领域的应用提供了新的可能性，相关研究已被CVPR2025接收。,Multimodal LLM,THU,None,https://mp.weixin.qq.com/s/iAOIE9m2s1AWSUpdxP6VLQ
量子位,2025-03-21 14:37:02,对话周光：自动驾驶实现AGI，RoadAGI比L5更快 | GTC 2025,周光谈RoadAGI：自动驾驶与AGI的融合路径,在英伟达GTC 2025上，元戎启行CEO周光介绍了RoadAGI的概念，强调其在实现自动驾驶AGI方面的潜力。RoadAGI旨在通过不依赖高精地图的方式，提升智能移动体的自主能力，提供“门到门”的配送服务。周光指出，RoadAGI的实现将早于完全自动驾驶的L5级别，并且是向物理AI迈进的重要一步。元戎启行的技术底座VLA将视觉、语言和行为智能融合，为未来的AGI奠定基础。,AGI,Other,周光,https://mp.weixin.qq.com/s/krR9dqehKS8IRB6aNZNByg
量子位,2025-03-21 14:37:02,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘启事，寻找对AI大模型、具身智能、终端硬件和AI新媒体编辑感兴趣的全职原创作者。岗位面向社招和应届毕业生，工作地点在北京中关村。招聘要求包括对AI领域的热情、良好的文字表达能力和信息搜集能力。加入量子位将有机会接触最新技术、提升个人影响力和获得专业指导。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/gzAxoCnFVVuQ5f2UiEwwCQ
量子位,2025-03-21 14:37:02,视频可以精准控制了！一句话给熊戴眼镜的那种，扩散模型立功，浙大悉尼科技大学出品 | ICLR 2025,多粒度视频编辑的扩散模型框架,ReLER Lab团队与浙江大学的学者合作提出了一种新的多粒度视频编辑任务，利用扩散模型实现文本到多个区域的精准控制。该框架VideoGrain支持类别级、实例级和局部级编辑，突破了传统视频编辑方法的局限。通过引入时空布局注意力机制，团队解决了特征耦合和文本区域控制的挑战，显著提升了视频编辑的效果。该研究已被ICLR 2025接收，并开源了相关数据集和代码。,Diffusion Model,Other,"杨向鹏, 杨易, 朱霖潮",https://mp.weixin.qq.com/s/hIeO3VimezA_vURHrCUyYg
新智元,2025-03-21 12:20:02,OpenAI语音智能体诞生，怼脸实拍语气狂到飞起！API降到每分钟0.3美分,OpenAI发布新音频模型，开启语音智能体时代,OpenAI于2025年3月21日推出了全新的音频模型，标志着语音智能体时代的到来。新发布的三款模型包括gpt-4o-transcribe、gpt-4o-mini-transcribe和gpt-4o-mini-tts，分别提供更高效的语音转文本和文本转语音功能，且API价格显著降低至每分钟0.3美分。这些模型在语音识别和合成方面表现出色，能够更好地理解人类语音并适应不同的说话风格，极大地提升了智能助手的可用性和个性化。 ,Agent,OpenAI,None,https://mp.weixin.qq.com/s/Dekw6HcaHFB3WnMWm9Mwdg
新智元,2025-03-21 12:20:02,微软腾讯合体开大！上千网红爆款涌进桌面，PC手机次元壁崩塌,微软与腾讯合作推动PC与移动应用融合,微软与腾讯宣布合作，将1000多款精选安卓应用引入Windows生态，打破PC与移动设备的界限，实现无缝集成。这一举措不仅丰富了Windows应用生态，也为开发者提供了新的商业机会，标志着PC与移动融合的加速趋势。通过英特尔技术的支持，用户在PC上体验移动应用的流畅性得以提升，满足了用户对跨设备体验的需求。,Other,"Microsoft, Tencent",None,https://mp.weixin.qq.com/s/Glt658c_34LrI8_KdbtCbQ
新智元,2025-03-21 12:20:02,25万GPU，估值350亿美元冲刺IPO！财务定时炸弹，GenAI不祥之兆,CoreWeave计划IPO引发财务风险担忧,CoreWeave，拥有25万块GPU，已提交上市文件，计划进行IPO，估值达到350亿美元。然而，媒体对此持怀疑态度，认为其财务状况堪忧，可能成为定时炸弹。分析师Edward Zitron指出，CoreWeave的依赖单一大客户微软和高额债务使其前景不明，可能重蹈WeWork覆辙。尽管与英伟达关系密切，CoreWeave的未来仍充满不确定性，尤其是在GenAI泡沫可能破裂的背景下。,Other,"Microsoft, Amazon, Meta",Edward Zitron,https://mp.weixin.qq.com/s/52hg9jHLpVCiydHxv_p_DQ
