标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
InfiniteYou: Flexible Photo Recrafting While Preserving Your Identity,InfiniteYou：灵活的照片重塑同时保留您的身份,Diffusion Model,ByteDance,https://arxiv.org/pdf/2503.16418,https://huggingface.co/papers/2503.16418,论文提出了InfiniteYou（InfU），一个基于先进的扩散变换器（DiT）框架，用于灵活的身份保留图像生成。InfU通过引入InfuseNet，利用残差连接注入身份特征，显著提升了身份相似性和生成质量。采用多阶段训练策略，包括预训练和有监督微调，进一步改善了文本与图像的对齐，解决了现有方法在身份相似性和图像美学方面的不足。实验结果表明，InfU在性能上超越了现有基准，并且其插件式设计确保与多种现有方法兼容，具有重要的应用价值。,8
Ultra-Resolution Adaptation with Ease,轻松实现超分辨率适应,Diffusion Model,Other,https://arxiv.org/pdf/2503.16322,https://huggingface.co/papers/2503.16322,本论文提出了一种名为URAE的超分辨率适应方法，旨在解决高分辨率图像生成中的数据和参数效率问题。研究表明，合成数据能够显著促进训练收敛，而在缺乏合成数据时，微调权重矩阵的少量组件比传统的低秩适配器更有效。此外，针对使用引导蒸馏的模型，论文指出在适应过程中禁用分类器无关引导是实现满意性能的关键。通过大量实验，URAE在仅用3000个样本和2000次迭代的情况下，达到了与最先进的闭源模型相当的2K生成性能，并为4K分辨率生成设立了新基准。,7
"Expert Race: A Flexible Routing Strategy for Scaling Diffusion
  Transformer with Mixture of Experts",专家竞赛：一种灵活的路由策略用于扩散变换器的混合专家模型,Diffusion Model,ByteDance,https://arxiv.org/pdf/2503.16057,https://huggingface.co/papers/2503.16057,本论文提出了一种新颖的混合专家模型Race-DiT，旨在提升扩散变换器的可扩展性和性能。通过引入灵活的路由策略“专家竞赛”，该模型允许令牌和专家之间进行竞争，从而动态分配专家给关键令牌。此外，论文还提出了每层正则化和路由相似性损失，以解决浅层学习中的挑战并防止模式崩溃，从而提高专家的利用效率。通过在ImageNet上的广泛实验，验证了所提方法在性能和可扩展性方面的显著提升。,7
"MagicMotion: Controllable Video Generation with Dense-to-Sparse
  Trajectory Guidance",MagicMotion：基于密集到稀疏轨迹引导的可控视频生成,Other,Microsoft,https://arxiv.org/pdf/2503.16421,https://huggingface.co/papers/2503.16421,论文介绍了MagicMotion，一个创新的图像到视频生成框架，旨在通过从密集到稀疏的三种条件（掩码、边界框和稀疏框）实现可控的视频生成。MagicMotion能够根据用户指定的轨迹高质量地动画化图像中的对象，克服了现有方法在复杂运动和多对象控制方面的局限性。此外，论文还推出了MagicData，一个大规模的轨迹控制视频数据集，以及MagicBench，一个用于评估视频质量和轨迹控制准确性的基准。实验结果表明，MagicMotion在多个指标上优于现有技术，推动了可控视频生成的发展。,6
1000+ FPS 4D Gaussian Splatting for Dynamic Scene Rendering,1000+ FPS 4D高斯点云渲染动态场景,Other,Other,https://arxiv.org/pdf/2503.16422,https://huggingface.co/papers/2503.16422,本文介绍了4DGS-1K，一种高效的动态场景渲染方法，能够在现代GPU上以超过1000帧每秒的速度运行，同时仅需原始存储的2%。研究识别了4D Gaussian Splatting（4DGS）中的两个主要时间冗余来源：短生命周期高斯和非活动高斯。为解决这些问题，提出了空间-时间变化评分作为新剪枝标准，以去除短生命周期高斯，并通过存储活动高斯的掩码来减少冗余计算。与传统4DGS相比，4DGS-1K在复杂动态场景中实现了41倍的存储减少和9倍的渲染速度提升，同时保持了相似的视觉质量。,5
M3: 3D-Spatial MultiModal Memory,M3: 3D空间多模态记忆,Multimodal LLM,Other,https://arxiv.org/pdf/2503.16413,https://huggingface.co/papers/2503.16413,本论文提出了3D空间多模态记忆系统（M3），旨在通过视频源有效存储中等规模静态场景的信息。M3结合了3D高斯点云技术和基础模型，构建了一种能够在不同粒度上呈现特征表示的多模态记忆。研究中识别了存储高维特征的计算限制和特征失配的问题，并通过引入主要场景成分和高斯记忆注意力机制来解决这些挑战。通过定量评估和定性可视化验证了M3的有效性，并在四足机器人上展示了其在室内场景中的实际应用。M3是首个针对3D特征蒸馏中的核心压缩挑战的研究。,5
XAttention: Block Sparse Attention with Antidiagonal Scoring,XAttention：具有反对角评分的块稀疏注意力,LLM,Other,https://arxiv.org/pdf/2503.16428,https://huggingface.co/papers/2503.16428,本文提出了XAttention，一种用于长上下文变换器模型的块稀疏注意力框架，旨在降低计算成本。XAttention的创新在于利用注意力矩阵的反对角线值之和作为块重要性的有效代理，从而精确识别并修剪不必要的块，显著提高稀疏性并加速推理过程。通过在多个长上下文基准（如RULER和LongBench）上的评估，XAttention在保持与全注意力相当的准确度的同时，实现了最高13.5倍的计算加速。这一成果为长上下文变换器模型的高效实用化铺平了道路。,5
CLS-RL: Image Classification with Rule-Based Reinforcement Learning,CLS-RL：基于规则的强化学习图像分类,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.16188,https://huggingface.co/papers/2503.16188,本文提出了一种基于规则的强化学习方法CLS-RL，用于改进多模态大语言模型（MLLMs）在图像分类任务中的表现。研究发现，传统的监督微调（SFT）可能导致严重的过拟合，而CLS-RL通过使用可验证信号作为奖励，显著提升了模型在少量标记数据下的分类能力。实验结果表明，CLS-RL在多个数据集上优于SFT，并且在不同数据集之间表现出“免费午餐”现象，表明其有效学习了分类基础。此外，作者提出了No-Thinking-CLS-RL方法，减少微调过程中的思考时间，进一步提升了模型的性能和泛化能力。这些发现为图像分类任务提供了新的思路。,5
Why Do Multi-Agent LLM Systems Fail?,为什么多智能体大语言模型系统会失败？,Agent,Other,https://arxiv.org/pdf/2503.13657,https://huggingface.co/papers/2503.13657,本文对多智能体系统（MAS）在大型语言模型（LLM）中的表现不足进行了首次全面研究。通过分析五个流行的MAS框架在150多个任务中的表现，研究团队识别出14种独特的失败模式，并提出了一种适用于多种MAS框架的综合分类法。这些失败模式被分为三个主要类别：系统设计失败、智能体间不一致以及任务验证与终止问题。研究还提出了改进智能体角色规范和增强协调策略的干预措施，以减少这些失败。研究结果为未来的MAS研究提供了清晰的方向，并开源了数据集和LLM注释工具。,5
"Uni-3DAR: Unified 3D Generation and Understanding via Autoregression on
  Compressed Spatial Tokens",Uni-3DAR：通过对压缩空间标记的自回归实现统一的3D生成与理解,Other,PKU,https://arxiv.org/pdf/2503.16278,https://huggingface.co/papers/2503.16278,本文介绍了Uni-3DAR，一个统一的3D生成与理解框架，通过自回归预测整合这两项任务。Uni-3DAR采用创新的分层标记化方法，利用八叉树压缩3D空间，并对微观3D结构的细节进行精细标记，以捕捉原子类型和空间坐标。为提高效率，提出了两项优化策略：一是二级子树压缩，最多可减少8倍的标记序列，二是针对动态变化的标记位置的掩码预测机制，显著提升模型性能。实验结果显示，Uni-3DAR在多种微观3D任务中表现优异，超越了现有的扩散模型，提升幅度可达256%，推理速度提高至21.8倍。,4
Towards Unified Latent Space for 3D Molecular Latent Diffusion Modeling,朝向统一潜在空间的3D分子潜在扩散建模,Diffusion Model,Other,https://arxiv.org/pdf/2503.15567,https://huggingface.co/papers/2503.15567,本论文提出了一种统一的变分自编码器（UAE-3D），用于3D分子潜在扩散建模，旨在解决分子生成中的多模态性和SE(3)等变性问题。现有方法通常将不变和等变模态分开处理，降低了训练和采样效率。UAE-3D通过将3D分子压缩为来自统一潜在空间的序列，保持近零重构误差，从而简化了多模态处理的复杂性。实验结果表明，UAE-3D在GEOM-Drugs和QM9数据集上显著提高了新分子生成的效率和质量，建立了新的基准。,4
Scale-wise Distillation of Diffusion Models,扩散模型的尺度级蒸馏,Diffusion Model,Other,https://arxiv.org/pdf/2503.16397,https://huggingface.co/papers/2503.16397,本文提出了一种名为SWD的规模-wise蒸馏框架，旨在提升扩散模型（DMs）的生成效率。SWD通过在较低数据分辨率下启动生成，并在每个去噪步骤中逐步放大样本，显著减少计算成本而不损失性能。此外，SWD引入了一种新颖的补丁损失函数，以增强与目标分布的细粒度相似性。在应用于先进的文本到图像扩散模型时，SWD的推理时间接近于两次全分辨率步骤，同时在相同计算预算下显著优于其他方法，得到了自动化指标和人类偏好研究的支持。,4
"LHM: Large Animatable Human Reconstruction Model from a Single Image in
  Seconds",LHM：从单张图像快速重建可动画的大型人类模型,Other,Alibaba,https://arxiv.org/pdf/2503.10625,https://huggingface.co/papers/2503.10625,本文提出了一种新模型LHM（Large Animatable Human Reconstruction Model），能够在几秒钟内从单幅图像重建高保真度的可动画3D人类头像。LHM利用多模态变换器架构有效编码人体和图像特征，确保衣物几何和纹理的细节保留。此外，采用头部特征金字塔编码方案增强面部身份和细节恢复。实验结果表明，LHM在重建准确性和泛化能力上均优于现有方法，且无需后处理即可实时渲染和姿态控制动画，为增强现实和虚拟现实应用提供了重要支持。,4
"Fin-R1: A Large Language Model for Financial Reasoning through
  Reinforcement Learning",Fin-R1：通过强化学习进行金融推理的大型语言模型,LLM,Other,https://arxiv.org/pdf/2503.16252,https://huggingface.co/papers/2503.16252,本文介绍了Fin-R1，一种专为金融推理设计的大型语言模型。Fin-R1采用了七十亿参数的轻量级架构，通过监督微调和强化学习，显著提升了处理复杂金融任务的能力。模型基于高质量的金融推理数据集进行训练，成功解决了碎片化金融数据、推理逻辑不稳定和商业泛化能力弱等问题。在多个金融基准测试中，Fin-R1表现优异，特别是在ConvFinQA和FinQA任务中达到了最新的领先水平，展示了其在金融合规和智能顾问等实际应用中的强大推理和决策能力。代码可在GitHub上获取。,3
"Zero-1-to-A: Zero-Shot One Image to Animatable Head Avatars Using Video
  Diffusion",Zero-1-to-A：使用视频扩散生成零样本单图像可动画头部头像,Diffusion Model,Other,https://arxiv.org/pdf/2503.15851,https://huggingface.co/papers/2503.15851,本论文提出了Zero-1-to-A方法，旨在通过视频扩散模型生成可动画的4D头像，减少对大量训练数据的需求。该方法通过逐步构建空间和时间一致性的数据集，优化头像质量。具体而言，Zero-1-to-A包含两个学习阶段：空间一致性学习和时间一致性学习，确保头像在生成过程中保持平滑和一致。实验结果表明，该方法在真实感、动画质量和渲染速度上优于现有的扩散方法，为生动的头像创建提供了一种有效的解决方案。相关代码可在GitHub上获取。,3
"Deceptive Humor: A Synthetic Multilingual Benchmark Dataset for Bridging
  Fabricated Claims with Humorous Content",欺骗幽默：一个合成的多语言基准数据集，用于连接虚假声明与幽默内容,LLM,Other,https://arxiv.org/pdf/2503.16031,https://huggingface.co/papers/2503.16031,本文介绍了“Deceptive Humor Dataset”（DHD），这是一个用于研究源于虚假声明和错误信息的幽默的新型数据集。在信息泛滥的时代，理解幽默与欺骗之间的关系至关重要。DHD包含从虚假叙述生成的幽默评论，标注了不同的讽刺级别，并分为五个幽默类别。该数据集涵盖英语、泰卢固语、印地语、卡纳达语、泰米尔语及其混合变体，成为多语种基准。通过DHD，研究者可以分析幽默在欺骗语境中的作用，推动对欺骗性幽默检测模型的未来研究。,2
"MagicID: Hybrid Preference Optimization for ID-Consistent and
  Dynamic-Preserved Video Customization",MagicID：用于身份一致和动态保留视频定制的混合偏好优化,Other,Other,https://arxiv.org/pdf/2503.12689,https://huggingface.co/papers/2503.12689,本文介绍了MagicID，一个新颖的视频定制框架，旨在生成具有一致身份和丰富动态的视频，以满足用户的偏好。现有方法面临身份在长视频中退化和动态性不足的问题，主要源于依赖静态图像的自重建训练。MagicID通过构建成对的偏好视频数据，并引入混合采样策略，优先保留身份并提升动态质量，从而优化模型。实验表明，MagicID在多个指标上超越了现有方法，成功实现了身份一致性和自然动态的高保真视频生成。,2
NuiScene: Exploring Efficient Generation of Unbounded Outdoor Scenes,NuiScene：探索无界户外场景的高效生成,Diffusion Model,Other,https://arxiv.org/pdf/2503.16375,https://huggingface.co/papers/2503.16375,本文提出了一种高效的户外场景生成方法，旨在克服传统室内场景生成的局限性。研究者们通过将场景块编码为统一的向量集，提升了生成效率和压缩性能，并训练了一个显式的外扩模型，以实现无界生成，增强了场景的一致性并加快了生成速度。此外，团队还策划了一个高质量的数据集NuiScene43，支持不同风格场景的联合训练，从而使模型能够在同一场景中融合多种环境。这项研究为大规模户外场景生成提供了新的思路，具有广泛的应用潜力。,2
"Improving Autoregressive Image Generation through Coarse-to-Fine Token
  Prediction",通过粗到细的标记预测改善自回归图像生成,Other,Shanghai AI Lab,https://arxiv.org/pdf/2503.16194,https://huggingface.co/papers/2503.16194,本论文提出了一种改进的自回归图像生成方法，通过粗到细的标记预测（CTF）来优化大规模代码本的使用。传统的自回归模型在处理图像时需要将连续像素数据离散化，这通常会引入量化误差。研究发现，相似的标记会对生成图像产生相似的影响，表明大代码本中存在显著的冗余。基于此，作者设计了一个两阶段框架：首先预测粗略标签，然后根据粗略标签同时预测细粒度标签。实验结果表明，该方法在ImageNet上显著提升了生成质量，并在保持快速采样速度的同时提高了59个点的Inception Score。,2
SALT: Singular Value Adaptation with Low-Rank Transformation,SALT：具有低秩变换的奇异值自适应,Other,Other,https://arxiv.org/pdf/2503.16055,https://huggingface.co/papers/2503.16055,本文提出了一种新方法SALT（Singular Value Adaptation with Low-Rank Transformation），旨在提高医疗图像分割中的模型适应性。SALT结合了低秩适应（LoRA）和全秩奇异值分解（SVD）的优点，采用可训练的缩放和偏移参数选择性地调整最重要的奇异值，同时对其余子空间进行低秩更新。通过在五个复杂的数据集上进行评估，SALT在仅使用3.9%的可训练参数的情况下，相较于现有的PEFT方法（LoRA和SVD）提高了2%到5%的Dice分数，显示出在低资源环境下的强大适应能力。,2
"VideoRFSplat: Direct Scene-Level Text-to-3D Gaussian Splatting
  Generation with Flexible Pose and Multi-View Joint Modeling",VideoRFSplat：直接场景级文本到3D高斯点云生成与灵活姿态和多视角联合建模,Other,Other,https://arxiv.org/pdf/2503.15855,https://huggingface.co/papers/2503.15855,本文提出了VideoRFSplat，一种直接将文本生成3D场景的模型，利用视频生成技术生成逼真的3D高斯点云。与以往依赖后处理精炼的方法不同，VideoRFSplat通过双流架构同时建模多视角图像和相机姿态，减少了不同模态间的干扰。此外，采用异步采样策略加速了相机姿态的去噪过程，从而提高了多视角生成的准确性和一致性。经过在多个大规模真实数据集上的训练，VideoRFSplat在生成质量上超越了现有方法，展示了其在增强现实、游戏和机器人等领域的潜在应用价值。,2
"MotionStreamer: Streaming Motion Generation via Diffusion-based
  Autoregressive Model in Causal Latent Space",MotionStreamer：基于扩散的自回归模型在因果潜在空间中的流式运动生成,Diffusion Model,Other,https://arxiv.org/pdf/2503.15451,https://huggingface.co/papers/2503.15451,本论文提出了MotionStreamer，一个创新的框架，用于文本条件下的流式动作生成。该方法通过引入连续因果潜在空间，克服了现有扩散模型在预定义动作长度上的限制和GPT模型在离散化过程中的延迟响应及误差累积问题。MotionStreamer能够实时预测人类姿态，充分利用历史动作信息，实现准确的在线动作解码。实验结果表明，该方法在多轮生成、长时间生成和动态动作组合等多种应用中表现优于现有技术，展现了其在实时应用中的潜力。,2
Make Your Training Flexible: Towards Deployment-Efficient Video Models,让你的训练更灵活：朝着高效部署的视频模型,Other,Shanghai AI Lab,https://arxiv.org/pdf/2503.14237,https://huggingface.co/papers/2503.14237,本论文提出了一种新的视频训练方法，旨在提高模型在不同计算预算下的适应性与效率。传统方法依赖固定数量的采样标记，导致计算和准确性之间的权衡不理想。为此，作者引入了“Token Optimization”测试设置，通过灵活的采样和标记选择来优化输入信息。核心工具“Flux”可轻松集成到现有视频训练框架中，显著提升模型的鲁棒性。实验结果表明，使用仅1/4的标记，FluxViT模型在多个任务上实现了新的最优性能，并节省了近90%的计算资源。所有模型和数据已公开。,2
"Reinforcement Learning for Reasoning in Small LLMs: What Works and What
  Doesn't",小型大语言模型中的推理强化学习：有效与无效的探索,LLM,Other,https://arxiv.org/pdf/2503.16219,https://huggingface.co/papers/2503.16219,本研究探讨了如何通过强化学习（RL）提升小型语言模型（LLMs）的推理能力，特别是针对一款1.5亿参数的模型DeepSeek-R1-Distill-Qwen-1.5B。在仅使用4个NVIDIA A40 GPU和24小时的训练时间内，我们应用了改进的群体相对策略优化算法，并构建了高质量的数学推理数据集。实验结果显示，模型的推理准确率显著提升，AMC23的准确率从63%提高到80%。尽管在长时间训练中出现了优化不稳定和长度限制等挑战，我们的研究表明，RL微调为资源有限的环境提供了一种有效且经济的替代方案。相关代码和数据集已开放共享。,1
"See-Saw Modality Balance: See Gradient, and Sew Impaired Vision-Language
  Balance to Mitigate Dominant Modality Bias",跷跷板模态平衡：观察梯度，缝合受损的视觉-语言平衡以减轻主导模态偏见,Multimodal LLM,Other,https://arxiv.org/pdf/2503.13834,https://huggingface.co/papers/2503.13834,本论文探讨了视觉-语言（VL）模型中的“主导模态偏见”，即模型在预测时过度依赖特定模态，导致性能下降。研究分析了这一偏见的成因，并提出了一种新框架BalGrad，通过对梯度进行重新加权和任务方向对齐，来缓解这一问题。实验结果表明，BalGrad在UPMC Food-101、Hateful Memes和MM-IMDb等数据集上有效降低了模型对单一模态的依赖，从而提升了整体预测性能。这一研究为改进多模态模型的平衡性提供了新的方法论。,1
