公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
新智元,2025-03-26 12:45:16,奥特曼直播「用嘴PS」，GPT-4o深夜掀AI图像革命！实测人物写实逼真到恐怖,GPT-4o推动AI图像生成技术的实用化进程,新智元报道，OpenAI的GPT-4o在图像生成领域引发了广泛关注，尤其是在人物写实方面的突破。该模型能够精准理解文本提示，并生成高保真的图像，标志着AI图像生成技术的实用化进程。与DALL-E 3不同，GPT-4o更注重现实主义，适用于专业创作。多位行业专家对其表现给予高度评价，认为其在设计、信息图表和角色一致性等方面具有显著优势。此次更新可能会改变创意行业的工作方式。,Multimodal LLM,"OpenAI, Google","Allie K. Miller, Lucas Crespo",https://mp.weixin.qq.com/s/89NxudA1A0z7BDHRyd-C1Q
机器之心,2025-03-26 16:24:48,上财开源首个金融领域R1类推理大模型，7B模型媲美DeepSeek-R1 671B满血版性能,上海财经大学发布金融领域R1类推理大模型Fin-R1,上海财经大学统计与数据科学学院的研究团队近日推出了首款金融领域的R1类推理大模型Fin-R1。该模型以仅7B的参数规模实现了卓越性能，接近671B参数的行业标杆DeepSeek-R1。Fin-R1基于高质量的金融推理数据集和两阶段训练框架，旨在解决金融推理任务中的知识整合和决策透明性问题，标志着高校在金融科技领域的自主创新迈入新高度。,LLM,Other,"张立文, 郭鑫, 刘赵伟, 蔡维格, 牛晋怡, 曾凌峰, 娄方齐, 王子璇, 胥佳杰, 赵学前, 杨子纬, 白祚, 陈德智, 许晟, 李超",https://mp.weixin.qq.com/s/385vXGIhmwfT5gVCIVrp6Q
机器之心,2025-03-26 16:24:48,音乐界迎来自己的DeepSeek！全球首个音乐推理大模型Mureka O1上线，超越Suno,全球首个音乐推理大模型Mureka O1发布,昆仑万维于2025年3月26日发布了全球首个引入思维链（CoT）的音乐推理大模型Mureka O1，标志着AI音乐生成技术的新突破。Mureka O1在音乐生成的质量和速度上超越了Suno V4，提供了更丰富的音乐风格和更高的创作灵活性。该模型支持多种语言的歌词生成，并具备音色克隆功能，为音乐创作提供了个性化解决方案。Mureka O1的推出为全球音乐创作带来了新的可能性。,Other,Other,None,https://mp.weixin.qq.com/s/XF9HQr-qlXfWGaQlesCaHQ
机器之心,2025-03-26 16:24:48,谷歌终于登顶一次了！最强推理模型Gemini 2.5 Pro实测体验，真的有点东西,谷歌推出最强推理模型Gemini 2.5 Pro的实测分析,谷歌最新发布的推理模型Gemini 2.5 Pro被称为其有史以来最智能的AI模型。该模型在多个基准测试中表现优异，尤其是在推理、科学和编程能力方面，超越了OpenAI的o3-mini。Gemini 2.5 Pro具备原生多模态能力，支持文本、音频、图像和视频输入，并在Chatbot Arena中以绝对优势登顶。尽管谷歌未公开详细技术报告，但其在强化学习和思维链提示等方面的突破显著提升了模型性能。,Multimodal LLM,Google,Sundar Pichai,https://mp.weixin.qq.com/s/unlZoM5oCH3HCw2kxy6X_w
新智元,2025-03-26 16:08:33,全球首款音乐推理模型Mureka O1首秀！爆改周杰伦，AI音乐进入DeepSeek时刻,全球首款音乐推理模型Mureka O1发布,昆仑万维近日发布了全球首款音乐推理大模型Mureka O1，标志着AI音乐创作进入新的时代。该模型在Mureka V6的基础上进行了优化，具备多语言创作能力和音乐结构推理能力，能够生成与特定场景匹配的背景音乐。Mureka O1的推出预示着音乐创作范式的重塑，AI音乐人可以独立创作专辑，甚至与人类音乐家竞争。该模型的多轨音频输出功能为音乐制作人提供了更大的创作自由。,Other,Other,None,https://mp.weixin.qq.com/s/5anNt3afJO1KXkE8zcY1TA
新智元,2025-03-26 16:08:33,摇滚首席科学家放大招，AppAgentX让10后学习开挂！十年暗战AI贾维斯,AppAgentX：为10后儿童学习提供智能助手的自进化智能体,新智元报道，听力熊Teeni.AI首席科学家张驰推出自进化智能体AppAgentX，旨在成为儿童学习的最佳助手。该技术不仅能模仿人类操作手机，还能通过使用不断提升智能，帮助孩子整理笔记、生成提纲等。张驰强调，AI应成为孩子思考的工具，培养他们的学习热情和习惯，以应对未来的AI时代。文章还探讨了人机交互的发展历程及其对教育的潜在影响。,Agent,Tencent,张驰,https://mp.weixin.qq.com/s/skavcWqIAN9a73qeom5Y_Q
新智元,2025-03-26 16:08:33,纯RGB输入，解决户外场景SLAM！误差降低至9.8%，港科广开源 | ICRA 2025,OpenGS-SLAM: A Pure RGB SLAM System for Unbounded Outdoor Scenes,"OpenGS-SLAM is a novel RGB-only SLAM system designed for unbounded outdoor environments, achieving a tracking error reduction to 9.8%. Developed by researchers at Hong Kong University of Science and Technology, this system utilizes a point map regression network and 3D Gaussian Splatting (3DGS) to enhance camera localization and scene reconstruction. The approach addresses challenges in depth estimation and pose accuracy in outdoor settings, integrating pose estimation with 3DGS rendering in an end-to-end differentiable pipeline. Experimental results on the Waymo dataset demonstrate significant improvements in tracking performance and novel view synthesis.",Other,Other,None,https://mp.weixin.qq.com/s/uU2v4DVd753s-rVafc0pPA
量子位,2025-03-26 15:20:21,姚班天才范浩强创业公司曝光！旷视三剑客携2亿天使轮进军具身智能赛道,范浩强创业公司原力灵机完成2亿天使轮融资，进军具身智能领域,范浩强等旷视科技创始团队成员成立的新公司原力灵机，专注于具身智能机器人，近日完成2亿元天使轮融资。该公司由清华姚班天才范浩强及其团队创立，背后有旷视科技的支持。范浩强在AI领域有着卓越的成就，曾获得IOI金牌，并在旷视科技担任重要职务。原力灵机的快速融资引起了投资者的关注，显示出具身智能领域的潜力。,Embodied AI,Other,"范浩强, 周而进, 汪天才",https://mp.weixin.qq.com/s/WBFS5TpqNpYWL0blstDkAQ
量子位,2025-03-26 15:20:21,轨迹可控视频生成新范式，复旦微软破解视频生成难题，精准控制任意物体运动,轨迹可控视频生成框架MagicMotion的提出与评估,复旦大学与微软的研究团队提出了一种新的轨迹可控视频生成框架MagicMotion，能够在给定输入图像和物体轨迹的情况下，精准控制物体运动，同时保持视频质量。该框架支持掩码、边界框和稀疏框三种轨迹控制方式，并构建了MagicData数据集和MagicBench评测基准，以提升数据质量和评估效率。实验表明，MagicMotion在多个关键指标上超越现有方法，展现出卓越的性能。,Other,Other,"李全昊, 邢桢, 吴祖煊",https://mp.weixin.qq.com/s/oGI4NIkVv9xV-pC19LLc3g
量子位,2025-03-26 18:29:05,对话2025最火具身智能团队：2个自动驾驶第一人带队，1.2亿美元天使融资震动江湖,2025年具身智能团队获得1.2亿美元天使融资,一支由自动驾驶领域顶尖人才组成的创业团队，它石智航（TARS）在2025年完成了1.2亿美元的天使轮融资，创下中国具身智能行业的新纪录。团队核心成员包括来自L2和L4的两位自动驾驶专家，致力于构建可信赖的超级具身智能系统。融资将用于产品研发和技术创新，团队的目标是推动具身智能在各行业的应用，标志着具身智能技术的快速发展和市场潜力。,Embodied AI,Other,"陈亦伦, 李震宇",https://mp.weixin.qq.com/s/v8lrvSJNrUAoSa9XPEp4fQ
量子位,2025-03-26 18:29:05,Yoshua Bengio参会！「大模型安全研讨会2025」开启，4月23日齐聚新加坡 | 报名开启,大模型安全研讨会2025在新加坡召开,2025年4月23日，第二届大模型安全研讨会将在新加坡举行，旨在探讨大模型技术的安全性与伦理问题。此次研讨会将汇聚来自全球顶尖学术机构的专家，包括图灵奖得主Yoshua Bengio教授，讨论大模型面临的安全风险、对抗性攻击、数据隐私及伦理治理等核心议题。研讨会由新加坡管理大学主办，旨在推动大模型的安全应用与可持续发展。,LLM,Other,"Yoshua Bengio, Christopher D. Manning, Dawn Song",https://mp.weixin.qq.com/s/FXo5ruzTAqYfjZBbe5ezpQ
量子位,2025-03-26 18:29:05,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘启事，寻找对AI大模型、具身智能、终端硬件和AI新媒体编辑感兴趣的全职原创作者。岗位面向社招和应届毕业生，工作地点为北京中关村。应聘者需具备对AI领域的热情，良好的文字表达能力和信息搜集能力。量子位提供竞争力薪资、专业指导和良好的团队氛围，鼓励应聘者探索新技术并建立行业人脉。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/TrHqrd2lP7ieIFKn-qdAQw
量子位,2025-03-26 18:29:05,人形机器人优雅漫步，强化学习新成果！独角兽Figure创始人：之前大家吐槽太猛,人形机器人利用强化学习实现自然行走,人形机器人独角兽Figure展示了其最新成果，通过强化学习技术实现了更自然的人形行走。新版本的Figure 02机器人在步态和速度上有显著提升，能够在多种地形上自如行走。该技术结合了高保真物理模拟和域随机化，确保了模拟与现实之间的有效转化。尽管创始人表示这并非首要任务，但回应了网友的期待，未来计划将技术扩展到更多机器人。 ,Embodied AI,Other,None,https://mp.weixin.qq.com/s/PENEiMoC5Y1jHCntMTDCRw
量子位,2025-03-26 18:29:05,中国顶流无人驾驶提速出海：安全久经考验，外国big name实名好评,中国无人驾驶技术在国际市场的推广与认可,近日，新加坡副总理王瑞杰和阿联酋AI部长对百度的萝卜快跑无人驾驶技术表示高度认可，称其安全性和舒适性出众。萝卜快跑的无人驾驶车辆在复杂城市环境中表现优异，出险率远低于传统司机。文章探讨了无人驾驶技术的进步，特别是基于大模型的端到端解决方案如何提升安全性和用户体验。随着技术的成熟，萝卜快跑正加速向新加坡和阿联酋等市场扩展。,Other,Other,"李彦宏, 王瑞杰, 奥马尔·苏丹·奥拉马",https://mp.weixin.qq.com/s/D92uWhr-QLFUUBKasnXDCA
