标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
Atlas: Multi-Scale Attention Improves Long Context Image Modeling,Atlas：多尺度注意力改善长上下文图像建模,Other,Other,https://arxiv.org/pdf/2503.12355,https://huggingface.co/papers/2503.12355,本论文提出了一种新的图像建模方法——多尺度注意力（MSA），旨在高效处理大规模图像。MSA结合了多尺度表示和双向跨尺度通信，通过创建O(log N)的尺度来逐步提取图像特征，并利用交叉注意力在不同尺度间传递信息。基于MSA，研究者们设计了Atlas架构，显著提高了长上下文图像建模的计算性能。在高分辨率的ImageNet 100数据集上，Atlas-B在1024px分辨率下达到了91.04%的准确率，比ConvNext-B快4.3倍，同时在多个比较中表现优于其他现有模型。这项工作为大规模图像处理提供了新的思路和方法。,9
MusicInfuser: Making Video Diffusion Listen and Dance,MusicInfuser: 让视频扩散模型听音乐并舞动,Diffusion Model,Other,https://arxiv.org/pdf/2503.14505,https://huggingface.co/papers/2503.14505,本文介绍了MusicInfuser，一种生成与指定音乐同步的高质量舞蹈视频的方法。该方法通过引入轻量级的音乐-视频交叉注意力机制和低秩适配器，适配现有的视频扩散模型，而无需重新设计或训练新的多模态音视频模型。与以往需要运动捕捉数据的研究不同，MusicInfuser仅在舞蹈视频上进行微调，成功实现了音乐驱动的视频生成，同时保持了模型的灵活性和生成能力。论文还提出了一种评估框架，利用视频语言模型来评估舞蹈生成的多个维度。项目页面和代码可在https://susunghong.github.io/MusicInfuser获取。,8
ViSpeak: Visual Instruction Feedback in Streaming Videos,ViSpeak：流媒体视频中的视觉指令反馈,Multimodal LLM,Alibaba,https://arxiv.org/pdf/2503.12769,https://huggingface.co/papers/2503.12769,本文提出了一种名为ViSpeak的新任务，旨在增强流媒体视频理解中的用户与代理之间的互动。与传统的离线视频理解不同，ViSpeak关注实时视频内容的处理，要求模型能够识别视觉指令并作出相应反应，例如用户的手势。为支持这一研究，作者定义了七个关键子任务，并收集了ViSpeak-Instruct数据集用于训练，以及ViSpeak-Bench用于评估。此外，ViSpeak模型在多个基准测试中表现出色，经过微调后具备基本的视觉指令反馈能力，为未来研究奠定了坚实的基础。,7
LEGION: Learning to Ground and Explain for Synthetic Image Detection,LEGION：学习为合成图像检测提供基础和解释,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.15264,https://huggingface.co/papers/2503.15264,"本论文提出了一种新颖的合成图像检测框架LEGION，旨在解决当前合成图像检测方法中缺乏细粒度解释和过于关注图像操控的问题。我们引入了SynthScars数据集，包含12,236张经过人类专家标注的合成图像，涵盖多种图像内容和伪影类别，并提供像素级分割和详细文本解释。LEGION结合了伪影检测、分割和解释功能，并可作为控制器，优化图像生成过程。实验表明，LEGION在多个基准测试中表现优异，超越了传统方法，并生成更符合人类偏好的高质量图像。",7
"GKG-LLM: A Unified Framework for Generalized Knowledge Graph
  Construction",GKG-LLM：一个统一的广义知识图谱构建框架,LLM,Other,https://arxiv.org/pdf/2503.11227,https://huggingface.co/papers/2503.11227,本研究提出了一种统一框架，用于构建广义知识图（GKG），涵盖知识图、事件知识图和常识知识图。现有研究通常分别构建这些图，缺乏整体视角。为解决因任务特异性带来的挑战，作者收集了来自29个数据集的15个子任务的数据，并将其分类为样本内、对抗任务和分布外数据。研究中引入了三阶段的课程学习微调框架，通过逐步注入三种图的知识到大型语言模型中，实验证明该模型在各种数据类型上均有效提升了知识图的构建效果。,7
MM-Spatial: Exploring 3D Spatial Understanding in Multimodal LLMs,MM-Spatial：探索多模态大语言模型中的3D空间理解,Multimodal LLM,Other,https://arxiv.org/pdf/2503.13111,https://huggingface.co/papers/2503.13111,本论文介绍了MM-Spatial，一种针对多模态大语言模型（MLLMs）在三维空间理解方面的改进。研究者们利用大规模高质量的三维场景数据，创建了Cubify Anything VQA（CA-VQA）数据集和评估基准，专注于室内场景。CA-VQA涵盖了多种空间任务，如空间关系预测、尺寸和距离估计以及三维定位。通过使用CA-VQA，MM-Spatial在三维空间理解基准测试中表现出色，展示了其在深度感知和多视角输入方面的能力。该研究为提升MLLMs在三维任务中的表现提供了重要的数据和方法支持。,6
"Mitigating Visual Forgetting via Take-along Visual Conditioning for
  Multi-modal Long CoT Reasoning",通过随行视觉条件缓解视觉遗忘以实现多模态长链推理,Multimodal LLM,Other,https://arxiv.org/pdf/2503.13360,https://huggingface.co/papers/2503.13360,本论文探讨了多模态大语言模型（MLLMs）在处理视觉信息时的注意力衰退问题，尤其是在长链推理任务中。研究发现，模型在推理过程中逐渐忽视视觉输入，导致输出过于依赖文本。为了解决这一问题，提出了一种名为“随行视觉条件”的新策略，通过在关键推理阶段引入图像输入并动态修剪冗余视觉信息，帮助模型更好地保持对视觉元素的关注。实验结果显示，该方法在五个数学推理基准测试中实现了3.4%的性能提升，证明了其在增强多模态推理系统方面的有效性。,5
"Unlock Pose Diversity: Accurate and Efficient Implicit Keypoint-based
  Spatiotemporal Diffusion for Audio-driven Talking Portrait",解锁姿态多样性：基于隐式关键点的音频驱动时空扩散的准确与高效的谈话肖像,Diffusion Model,Other,https://arxiv.org/pdf/2503.12963,https://huggingface.co/papers/2503.12963,本文提出了KDTalker，一个创新的音频驱动单幅图像说话肖像生成框架。KDTalker结合了无监督隐式3D关键点与时空扩散模型，克服了传统关键点方法在捕捉细腻面部细节和姿势多样性方面的局限。通过灵活调整面部信息密度，KDTalker能够生成多样的头部姿势，并确保准确的唇部同步，生成高质量、时间一致的动画。此外，该框架在执行效率上也有所提升。实验结果表明，KDTalker在唇部同步准确性、姿势多样性和运行效率方面达到了先进水平。,5
"Towards Self-Improving Systematic Cognition for Next-Generation
  Foundation MLLMs",面向下一代基础多模态大语言模型的自我提升系统认知,Multimodal LLM,THU,https://arxiv.org/pdf/2503.12303,https://huggingface.co/papers/2503.12303,本论文提出了一种名为自我改善认知（SIcog）的框架，旨在提升多模态大型语言模型（MLLMs）的系统认知能力，以应对其在细致感知和复杂推理方面的挑战。SIcog通过自生成数据进行多模态预训练，采用“描述链”方法增强模型的视觉理解和推理能力。该框架利用最少的外部注释，生成详细的图像描述和推理数据，并通过自一致性进行整理。实验结果表明，使用仅213K自生成的预训练样本，SIcog显著提升了模型的认知能力，超越了现有预训练方法的表现，为下一代基础模型的发展提供了新的方向。,4
Learning to Inference Adaptively for Multimodal Large Language Models,为多模态大语言模型学习自适应推理,Multimodal LLM,Other,https://arxiv.org/pdf/2503.10905,https://huggingface.co/papers/2503.10905,本论文提出了一种名为AdaLLaVA的自适应推理框架，旨在提高多模态大语言模型（MLLMs）的推理效率。传统的MLLM在资源受限环境中表现不佳，尤其是在运行条件变化时。AdaLLaVA能够根据输入数据和延迟预算动态调整推理操作，优化准确性与延迟之间的权衡。通过广泛的实验，结果表明该框架能够有效适应不同的输入延迟和内容，并且可以与令牌选择技术结合，提升整体效率。该方法在多种基准测试中表现出色，具有良好的通用性。,2
"EvalTree: Profiling Language Model Weaknesses via Hierarchical
  Capability Trees",EvalTree：通过层次能力树评估语言模型的弱点,LLM,Other,https://arxiv.org/pdf/2503.08893,https://huggingface.co/papers/2503.08893,本文提出了一种新的语言模型评估方法EvalTree，旨在识别模型的弱点并提供改进建议。EvalTree通过构建一个能力树，将每个节点与特定的基准实例关联，从而提取出模型表现不佳的能力节点，生成自然语言形式的弱点概况。在MATH和WildChat基准测试中，EvalTree在精确和全面识别弱点方面优于现有方法。此外，基于EvalTree识别的弱点进行的数据收集策略显著提升了模型性能。研究还揭示了Chatbot Arena人类投票评估实践中的缺陷。为促进后续研究，作者发布了相关代码和交互式界面。,2
"MeshFleet: Filtered and Annotated 3D Vehicle Dataset for Domain Specific
  Generative Modeling",MeshFleet：用于领域特定生成建模的过滤和注释3D车辆数据集,Other,Other,https://arxiv.org/pdf/2503.14002,https://huggingface.co/papers/2503.14002,本论文提出了MeshFleet，一个经过过滤和注释的3D车辆数据集，旨在提升特定领域生成模型的性能。尽管3D生成模型在技术上取得了显著进展，但在工程等领域的实际应用仍受限于准确性和可控性。MeshFleet数据集源自Objaverse-XL，采用自动化数据过滤流程，通过质量分类器筛选高质量数据。该分类器结合了DINOv2和SigLIP嵌入，并经过基于标题分析和不确定性估计的优化。通过与其他过滤方法的比较和SV3D的微调实验，研究展示了针对性数据选择在特定领域3D生成建模中的重要性。,1
PyGDA: A Python Library for Graph Domain Adaptation,PyGDA：一个用于图域适应的Python库,Other,Other,https://arxiv.org/pdf/2503.10284,https://huggingface.co/papers/2503.10284,本文介绍了PyGDA，一个开源Python库，旨在简化图域适应的研究和应用。PyGDA汇集了20多种常用的图域适应方法，并支持多种图数据集，为用户提供模块化组件，便于构建自定义模型。该库还具备大规模图处理的功能，如采样和小批量处理，以提高计算效率。此外，PyGDA提供了全面的性能基准和用户友好的API，适合研究人员和实践者使用。PyGDA在MIT许可证下发布，促进了图域适应技术的可及性和应用。,1
"CoLMDriver: LLM-based Negotiation Benefits Cooperative Autonomous
  Driving",CoLMDriver：基于大语言模型的谈判促进合作自主驾驶,Agent,Shanghai AI Lab,https://arxiv.org/pdf/2503.08683,https://huggingface.co/papers/2503.08683,本论文提出了CoLMDriver，一个基于大型语言模型（LLM）的合作自主驾驶系统，旨在提升车辆间的协作效果。CoLMDriver通过一个并行驾驶管道实现语言基础的协商和实时控制，主要包括一个基于演员-评论家范式的协商模块和一个意图引导的路径点生成器。该系统能够根据车辆间的反馈不断优化合作策略。研究还介绍了InterDrive，一个基于CARLA的模拟基准，用于评估车辆间合作的挑战性场景。实验结果表明，CoLMDriver在高度互动的驾驶场景中相较于现有方法成功率提高了11%，展示了其在提高道路安全性方面的潜力。,1
ELTEX: A Framework for Domain-Driven Synthetic Data Generation,ELTEX：一种基于领域驱动的合成数据生成框架,LLM,Other,https://arxiv.org/pdf/2503.15055,https://huggingface.co/papers/2503.15055,本文提出了ELTEX（高效LLM标记提取），一个面向特定领域的框架，用于生成高质量的合成训练数据，特别是在网络安全等专业领域。虽然大型语言模型（LLMs）在一般任务上表现出色，但在特定领域的应用受限于专业训练数据的稀缺。ELTEX通过系统地提取领域指示符并动态提示，确保在数据生成过程中保留重要的领域知识。研究表明，基于ELTEX的模型在区块链相关的网络攻击检测任务中，性能与GPT-4相当，但计算资源需求显著降低。论文还发布了一套针对区块链网络攻击检测的社交媒体文本合成数据集，展示了领域驱动的合成数据生成在提升资源高效模型性能方面的潜力。,1
Optimizing Decomposition for Optimal Claim Verification,优化分解以实现最佳索赔验证,Other,Other,https://arxiv.org/pdf/2503.15354,https://huggingface.co/papers/2503.15354,本论文探讨了“分解-验证”范式在长文本事实核查中的应用，指出现有的分解策略与验证器之间存在不匹配，导致验证效果不佳。作者提出将优化分解策略视为一个双层优化问题，并引入动态分解的强化学习框架，利用验证器反馈学习最佳分解策略以提高信息密度。实验结果表明，动态分解在不同验证器和数据集上显著提升了验证信心和准确率，证明了优化分解对提升事实核查效果的重要性。,1
"CURIE: Evaluating LLMs On Multitask Scientific Long Context
  Understanding and Reasoning",CURIE：评估大语言模型在多任务科学长文本理解与推理中的表现,LLM,Google,https://arxiv.org/pdf/2503.13517,https://huggingface.co/papers/2503.13517,本文介绍了CURIE，一个用于评估大语言模型（LLMs）在科学问题解决中的能力的基准。CURIE包含十个具有挑战性的任务，共580个问题和解决方案，涵盖材料科学、凝聚态物理、量子计算、地理空间分析、生物多样性和蛋白质等六个学科。评估结果显示，尽管Gemini Flash 2.0和Claude-3在各领域表现出色，但GPT-4o和command-R+在蛋白质序列任务上表现不佳，最佳表现仅为32%。该研究旨在为未来LLMs在科学领域的发展提供指导。,1
