标题,中文标题,领域分类,研究机构,PDF链接,论文链接,简明摘要,Upvote数
"Fin-R1: A Large Language Model for Financial Reasoning through
  Reinforcement Learning",Fin-R1：通过强化学习进行金融推理的大型语言模型,LLM,Other,https://arxiv.org/pdf/2503.16252,https://huggingface.co/papers/2503.16252,本文介绍了Fin-R1，一种专为金融推理设计的大型语言模型。Fin-R1采用七亿参数的轻量级架构，旨在解决金融领域中的数据碎片化、推理逻辑不稳定和商业泛化能力弱等问题。通过构建高质量的金融推理数据集，并采用监督微调和强化学习的两阶段训练方法，Fin-R1在多个金融推理任务中表现出色，特别是在ConvFinQA和FinQA任务中达到了最先进的水平。尽管模型参数较少，Fin-R1在实际应用中展现了强大的自动推理和决策能力，为金融行业提供了高效的解决方案。代码可在GitHub上获取。,14
M3: 3D-Spatial MultiModal Memory,M3：3D空间多模态记忆,Multimodal LLM,Other,https://arxiv.org/pdf/2503.16413,https://huggingface.co/papers/2503.16413,本文提出了3D空间多模态记忆系统（M3），旨在通过视频源保留中等规模静态场景的信息，以增强视觉感知。M3结合了3D高斯散射技术与基础模型，构建了一种高效的多模态记忆，能够在不同粒度上渲染特征表示。针对先前研究中存储高维特征的计算限制和特征对齐问题，M3引入了主要场景组件和高斯记忆注意力机制，从而提升了训练和推理效率。通过定量评估和定性可视化，验证了M3在多种基础模型中的有效性，并展示了其在室内场景下的实际应用，标志着在3D特征蒸馏中的重要进展。,13
"Reinforcement Learning for Reasoning in Small LLMs: What Works and What
  Doesn't",强化学习在小型大语言模型中的推理：有效与无效的探索,LLM,Other,https://arxiv.org/pdf/2503.16219,https://huggingface.co/papers/2503.16219,本研究探讨了使用强化学习（RL）提升小型语言模型（LLMs）推理能力的潜力，重点关注一个15亿参数的模型DeepSeek-R1-Distill-Qwen-1.5B。我们在严格的资源限制下进行训练，采用了Group Relative Policy Optimization（GRPO）算法，并构建了高质量的数学推理数据集。实验结果显示，模型的推理精度显著提升，例如AMC23准确率从63%提高到80%，且训练成本仅为42美元，远低于基线模型的数千美元。然而，研究中也发现了优化不稳定性和长度限制等挑战。这些发现为资源有限环境中的推理能力提升提供了经济有效的方案，并将相关代码和数据集开源，助力后续研究。,13
"LHM: Large Animatable Human Reconstruction Model from a Single Image in
  Seconds",LHM：从单张图像快速重建可动画的大型人类模型,Other,Alibaba,https://arxiv.org/pdf/2503.10625,https://huggingface.co/papers/2503.10625,本文提出了LHM（Large Animatable Human Reconstruction Model），一种能够在几秒钟内从单张图像重建可动画3D人类头像的模型。LHM利用多模态变换器架构，有效编码人体位置和图像特征，确保细致的服装几何和纹理保留。为增强面部身份和细节恢复，模型采用了头部特征金字塔编码方案。实验表明，LHM在重建准确性和泛化能力上超越了现有方法，且无需后处理即可生成逼真的可动画人类头像，适用于增强现实和虚拟现实应用。,12
1000+ FPS 4D Gaussian Splatting for Dynamic Scene Rendering,1000+ FPS 4D高斯点云渲染动态场景,Other,Other,https://arxiv.org/pdf/2503.16422,https://huggingface.co/papers/2503.16422,本论文提出了一种新方法4DGS-1K，用于动态场景渲染，能在现代GPU上实现超过1000帧每秒的渲染速度，同时保持相似的视觉质量。研究识别了4D高斯点云（4DGS）中存在的两个主要冗余源：短生命周期高斯和非活跃高斯。通过引入空间-时间变化评分来有效去除短生命周期高斯，并存储连续帧的活跃高斯掩码，显著降低了存储需求（减少41倍）和计算开销（加速9倍）。该方法在复杂动态场景中表现出色，为实时应用提供了更高效的解决方案。,11
CaKE: Circuit-aware Editing Enables Generalizable Knowledge Learners,CaKE：电路感知编辑使知识学习者具备泛化能力,LLM,Other,https://arxiv.org/pdf/2503.16356,https://huggingface.co/papers/2503.16356,本论文提出了一种新的知识编辑方法CaKE（Circuit-aware Knowledge Editing），旨在提高大型语言模型（LLMs）在多跳推理任务中的知识更新能力。现有的知识编辑方法往往只能更新孤立的事实，难以将这些更新有效地整合到推理过程中。CaKE通过分析推理电路，利用精心策划的数据来促进模型使用修改后的知识，从而激励模型发展适应新知识的推理电路。实验结果表明，CaKE在MQuAKE数据集上的多跳推理准确率平均提高了20%，显著提升了知识更新的准确性和一致性。,11
Ultra-Resolution Adaptation with Ease,轻松实现超分辨率适应,Diffusion Model,Other,https://arxiv.org/pdf/2503.16322,https://huggingface.co/papers/2503.16322,本论文提出了一种名为URAE的超分辨率适应方法，旨在解决高分辨率图像生成中的数据和参数效率问题。研究表明，利用教师模型生成的合成数据可以显著提升训练收敛速度；同时，在缺乏合成数据的情况下，调整权重矩阵的次要组件比常用的低秩适配器效果更佳。此外，对于使用引导蒸馏的模型，适应过程中禁用无分类器引导是获得良好性能的关键。实验结果表明，URAE在仅使用3000个样本和2000次迭代的情况下，能达到与现有顶尖闭源模型相媲美的2K生成性能，并为4K分辨率生成设定了新基准。,11
"Expert Race: A Flexible Routing Strategy for Scaling Diffusion
  Transformer with Mixture of Experts",专家竞赛：一种灵活的路由策略用于扩展混合专家的扩散变换器,Diffusion Model,ByteDance,https://arxiv.org/pdf/2503.16057,https://huggingface.co/papers/2503.16057,本论文提出了一种新型的混合专家模型Race-DiT，旨在提升扩散变换器的可扩展性和性能。通过灵活的路由策略“专家竞赛”，模型能够动态选择关键令牌的专家，从而优化专家的利用率。为了解决浅层学习中的挑战，研究还引入了逐层正则化和路由相似性损失，以防止模式崩溃。通过在ImageNet上的广泛实验，结果显示该方法显著提升了模型性能，展现了良好的扩展性。,11
Tokenize Image as a Set,将图像标记为集合,Diffusion Model,Tencent,https://arxiv.org/pdf/2503.16425,https://huggingface.co/papers/2503.16425,本论文提出了一种全新的图像生成范式，通过基于集合的标记化和分布建模，取代传统的固定位置潜在编码方法。我们引入无序的标记集合表示，动态分配编码容量以适应区域语义复杂性，从而增强全局上下文聚合能力并提高对局部干扰的鲁棒性。为了解决离散集合建模的挑战，我们设计了一种双重转换机制，将集合双射转换为具有和约束的固定长度整数序列。此外，我们提出了固定和离散扩散框架，首次同时处理离散值、固定序列长度和和不变性。实验结果表明，我们的方法在语义感知表示和生成质量上优于传统方法，推动了视觉生成技术的发展。,10
XAttention: Block Sparse Attention with Antidiagonal Scoring,XAttention：具有反对角评分的块稀疏注意力,LLM,Other,https://arxiv.org/pdf/2503.16428,https://huggingface.co/papers/2503.16428,本文提出了XAttention，一种用于长上下文Transformer模型的块稀疏注意力框架，旨在降低计算成本。XAttention的创新在于利用注意力矩阵的反对角线值之和作为块重要性的有效代理，从而精确识别和修剪不必要的块，实现高稀疏性和显著加速推理。通过在多个长上下文基准（如RULER、LongBench、VideoMME和VBench）上的评估，XAttention在保持与全注意力相当的准确性的同时，展示了最高可达13.5倍的计算加速。这一成果为长上下文Transformer模型的实际应用提供了可扩展、高效的解决方案。,9
"MagicMotion: Controllable Video Generation with Dense-to-Sparse
  Trajectory Guidance",MagicMotion：基于稠密到稀疏轨迹指导的可控视频生成,Other,Microsoft,https://arxiv.org/pdf/2503.16421,https://huggingface.co/papers/2503.16421,本文介绍了MagicMotion，一个新颖的图像到视频生成框架，旨在解决现有轨迹可控视频生成方法在复杂物体运动和多物体控制方面的不足。MagicMotion通过三种不同的控制级别（掩码、边界框和稀疏框）实现精确的物体运动控制，能够在保持物体一致性和视觉质量的同时，沿用户指定的轨迹生成高质量视频。此外，论文还推出了MagicData，一个大规模的轨迹控制视频数据集，以及MagicBench，一个评估视频质量和轨迹控制准确性的基准。实验结果表明，MagicMotion在多个指标上优于现有方法。,8
NuiScene: Exploring Efficient Generation of Unbounded Outdoor Scenes,NuiScene：探索无界户外场景的高效生成,Diffusion Model,Other,https://arxiv.org/pdf/2503.16375,https://huggingface.co/papers/2503.16375,本论文提出了一种高效的户外场景生成方法，旨在克服传统室内场景生成的局限，解决户外场景中高度变化大和快速生成大规模景观的挑战。研究者们通过将场景块编码为统一的向量集，显著提升了压缩性能和生成效率。此外，论文中训练的显式外扩模型相较于以往的重采样方法，提供了更好的连贯性并加快了生成速度。为支持这一研究，作者们整理了高质量的数据集NuiScene43，展示了模型在不同风格环境中融合的潜力，从而推动了异质场景的联合训练。,8
SALT: Singular Value Adaptation with Low-Rank Transformation,SALT：具有低秩变换的奇异值适应,Other,Other,https://arxiv.org/pdf/2503.16055,https://huggingface.co/papers/2503.16055,本文提出了一种新方法SALT（基于低秩变换的奇异值适应），旨在提高医学图像分割中的模型适应性。SALT结合了低秩适应（LoRA）和奇异值分解（SVD）的优点，通过可训练的缩放和偏移参数选择性调整重要的奇异值，同时对其余子空间进行低秩更新。该方法在五个具有挑战性的医学数据集上进行评估，结果显示SALT在Dice系数上比现有的PEFT方法（如LoRA和SVD）提高了2%至5%，并且仅需3.9%的可训练参数，展现了在低资源环境中的强大适应能力。,8
"BigO(Bench) -- Can LLMs Generate Code with Controlled Time and Space
  Complexity?",BigO(Bench) -- 大语言模型能否生成具有可控时间和空间复杂度的代码？,LLM,Meta,https://arxiv.org/pdf/2503.15242,https://huggingface.co/papers/2503.15242,"本文介绍了BigO(Bench)，一个新颖的编码基准，旨在评估生成语言模型在理解和生成具有特定时间和空间复杂度的代码方面的能力。该基准填补了现有评估中对模型在计算复杂度约束下的表现关注不足的空白。BigO(Bench)包含3,105个编码问题和1,190,250个标注了解析复杂度的解决方案，并提供了相应的运行时和内存占用数据。通过对多个先进语言模型的评估，结果显示尽管这些模型在代码生成上表现优异，但在复杂度理解方面存在明显不足，提示其在未训练任务上的泛化能力有限。",7
Agents Play Thousands of 3D Video Games,智能体玩数千款3D视频游戏,Agent,Tencent,https://arxiv.org/pdf/2503.13356,https://huggingface.co/papers/2503.13356,本文提出了PORTAL框架，旨在开发能够通过语言引导生成策略的人工智能代理，以便在数千款3D视频游戏中进行游戏。该方法将决策问题转化为语言建模任务，利用大型语言模型生成特定领域的行为树，从而减少传统强化学习方法的计算负担，同时保持战略深度和适应性。PORTAL结合了基于规则的节点和神经网络组件，支持高层次战略推理和精确的低层次控制。实验结果显示，PORTAL在第一人称射击游戏中的表现显著提升了开发效率、策略泛化能力和行为多样性，标志着游戏AI开发的重要进展。,7
CLS-RL: Image Classification with Rule-Based Reinforcement Learning,CLS-RL：基于规则的强化学习图像分类,Multimodal LLM,Shanghai AI Lab,https://arxiv.org/pdf/2503.16188,https://huggingface.co/papers/2503.16188,本论文提出了一种名为CLS-RL的基于规则的强化学习方法，以改进多模态大语言模型（MLLMs）在图像分类任务中的表现。研究发现，传统的监督微调（SFT）在少量样本的情况下可能导致严重的过拟合，而CLS-RL通过使用可验证信号作为奖励，显著提升了模型在多个数据集上的分类准确性。此外，论文还引入了No-Thinking-CLS-RL方法，减少了微调过程中的思考时间，从而在保持高性能的同时缩短了训练时间。研究结果表明，RL方法有效地帮助模型掌握分类基础，具有较强的泛化能力。,6
"Zero-1-to-A: Zero-Shot One Image to Animatable Head Avatars Using Video
  Diffusion",Zero-1-to-A：使用视频扩散生成零样本单图像可动画头部头像,Diffusion Model,Other,https://arxiv.org/pdf/2503.15851,https://huggingface.co/papers/2503.15851,论文《Zero-1-to-A: Zero-Shot One Image to Animatable Head Avatars Using Video Diffusion》提出了一种新方法，旨在通过视频扩散模型生成可动画的4D头像，减少训练所需的数据量。该方法名为Zero-1-to-A，采用渐进式学习策略，分为空间一致性学习和时间一致性学习两个阶段，从而确保生成的头像在质量上平滑提升。实验结果表明，Zero-1-to-A在头像的真实感、动画质量和渲染速度方面优于现有方法，提供了一种高效的解决方案用于生动的头像创建。代码已公开发布。,6
Towards Unified Latent Space for 3D Molecular Latent Diffusion Modeling,朝向统一潜在空间的3D分子潜在扩散建模,Diffusion Model,Other,https://arxiv.org/pdf/2503.15567,https://huggingface.co/papers/2503.15567,本论文提出了一种新的统一潜在空间模型，名为统一变分自编码器（UAE-3D），旨在提高3D分子生成的效率和质量。传统方法通常为不同的模态（如原子类型、化学键和3D坐标）维护独立的潜在空间，这降低了训练和采样的效率。UAE-3D通过将3D分子压缩为来自统一潜在空间的序列，克服了多模态和等变性处理的复杂性，同时保持近乎零的重构误差。研究表明，该模型在GEOM-Drugs和QM9数据集上的实验结果显著提升了新分子生成的基准，展示了其在药物发现和材料科学中的潜在应用价值。,6
"Uni-3DAR: Unified 3D Generation and Understanding via Autoregression on
  Compressed Spatial Tokens",Uni-3DAR：通过对压缩空间标记的自回归实现统一的3D生成与理解,Other,PKU,https://arxiv.org/pdf/2503.16278,https://huggingface.co/papers/2503.16278,本论文提出了Uni-3DAR，一个统一的框架，通过自回归预测整合3D生成与理解（3D GU）任务。Uni-3DAR采用新颖的分层标记方法，利用八叉树压缩3D空间，并通过细粒度标记捕捉微观结构的关键信息。为提升效率，论文引入了两项优化策略：一种两级子树压缩方法可将八叉树标记序列减少至8倍，另一种动态掩蔽下一个标记预测机制显著提升模型性能。实验结果显示，Uni-3DAR在多种微观3D GU任务中表现优异，超越了现有的扩散模型，取得高达256%的相对提升，并实现了21.8倍的推理速度加快。,5
Make Your Training Flexible: Towards Deployment-Efficient Video Models,让你的训练更加灵活：朝着高效部署的视频模型,Other,Shanghai AI Lab,https://arxiv.org/pdf/2503.14237,https://huggingface.co/papers/2503.14237,该论文提出了一种新的视频模型训练方法，旨在提高模型在实际部署中的效率。现有方法通常依赖固定数量的采样令牌，导致计算和准确性之间的权衡不理想。为了解决这个问题，作者引入了“令牌优化”的新测试设置，并开发了一种名为Flux的增强工具，使采样网格灵活化，从而优化输入令牌的选择。通过在大规模视频预训练中应用Flux，所提出的FluxViT模型在多个任务上实现了新的最优性能，且仅使用四分之一的令牌即可匹配之前的最佳模型，节省了近90%的计算资源。这一方法的灵活性和高效性使其易于在现有视频训练框架中应用。,5
Sonata: Self-Supervised Learning of Reliable Point Representations,Sonata：自监督学习可靠点表示,Other,Meta,https://arxiv.org/pdf/2503.16429,https://huggingface.co/papers/2503.16429,本文提出了Sonata，一种自监督学习方法，旨在提高点云数据的表示质量，以便在多种3D任务中实现高效的线性探测。研究发现，现有的3D自监督学习模型在表示质量上存在不足，主要源于“几何捷径”现象，导致模型仅关注低级空间特征。Sonata通过遮蔽空间信息和增强输入特征的依赖性，利用自蒸馏技术构建了一个包含14万点云的数据集。结果表明，Sonata在ScanNet数据集上线性探测准确率提高了3.3倍，且在参数和数据效率上表现优异，推动了3D室内外感知任务的最新进展。,4
UVE: Are MLLMs Unified Evaluators for AI-Generated Videos?,UVE：多模态大语言模型是否是AI生成视频的统一评估者？,Multimodal LLM,ByteDance,https://arxiv.org/pdf/2503.09949,https://huggingface.co/papers/2503.09949,本论文探讨了使用多模态大语言模型（MLLMs）作为统一评估器来评估AI生成视频（AIGVs）的可行性。随着视频生成模型（VGMs）的快速发展，现有的评估方法存在局限，难以满足对更细致和全面评估的需求。为此，研究者们引入了UVE-Bench基准，收集了由先进VGM生成的视频，并提供了15个评估方面的人工偏好注释。通过对16个MLLM的评估，结果显示尽管这些模型仍不及人类评估者，但在统一AIGV评估中表现优于现有专门评估方法。论文还深入分析了影响MLLM评估性能的关键设计选择，为未来研究提供了有价值的见解。,4
"See-Saw Modality Balance: See Gradient, and Sew Impaired Vision-Language
  Balance to Mitigate Dominant Modality Bias",跷跷板模态平衡：观察梯度，缝合受损的视觉-语言平衡以减轻主导模态偏差,Multimodal LLM,Other,https://arxiv.org/pdf/2503.13834,https://huggingface.co/papers/2503.13834,本文探讨了视觉-语言（VL）模型中的“主导模态偏差”问题，该偏差导致模型在预测时过于依赖特定模态，尤其在某一模态受损时表现不佳。研究分析了这一现象的原因，发现不对齐的梯度和梯度幅度差异妨碍了损失的平衡收敛。为此，提出了新框架BalGrad，通过模态间梯度重加权和任务间梯度投影等方法来缓解主导模态偏差。实验结果表明，BalGrad在多个数据集上有效提高了模型的预测性能，减少了对特定模态的过度依赖。,4
"MagicID: Hybrid Preference Optimization for ID-Consistent and
  Dynamic-Preserved Video Customization",MagicID：用于保持身份一致性和动态保留的视频定制的混合偏好优化,Other,Other,https://arxiv.org/pdf/2503.12689,https://huggingface.co/papers/2503.12689,论文《MagicID: Hybrid Preference Optimization for ID-Consistent and Dynamic-Preserved Video Customization》提出了一种新框架MagicID，旨在解决视频身份定制中的两个主要问题：视频长度导致的身份降解和训练过程中动态性降低。通过构建具有明确身份和动态奖励的成对偏好视频数据，MagicID优化了视频生成过程，确保生成的视频既保持一致的身份特征，又展现自然的动态效果。此外，论文引入了一种混合采样策略，优先考虑身份保留，并通过前沿采样方法提升动态质量。实验结果表明，MagicID在多个指标上超越了现有方法，具有显著的实用价值。,4
"Improving Autoregressive Image Generation through Coarse-to-Fine Token
  Prediction",通过粗到细的标记预测改善自回归图像生成,Other,Shanghai AI Lab,https://arxiv.org/pdf/2503.16194,https://huggingface.co/papers/2503.16194,本论文提出了一种改进的自回归图像生成方法，通过粗到细的标记预测（CTF）来优化大词汇表的使用。研究发现，相似的代码词表示会对生成图像产生相似效果，表明大词汇表中存在显著冗余。为此，作者设计了一个两阶段框架：首先，利用自回归模型顺序预测每个标记的粗标签；其次，辅助模型在条件粗标签下同时预测所有标记的细标签。实验结果表明，该方法在ImageNet上显著提升了生成效果，Inception Score平均提高了59分，同时实现了更快的采样速度。,3
"Deceptive Humor: A Synthetic Multilingual Benchmark Dataset for Bridging
  Fabricated Claims with Humorous Content",欺骗幽默：一个合成的多语言基准数据集，用于连接虚假声明与幽默内容,LLM,Other,https://arxiv.org/pdf/2503.16031,https://huggingface.co/papers/2503.16031,本文介绍了“欺骗性幽默数据集”（DHD），这是一个用于研究源自虚假信息的幽默的新资源。DHD包含从虚假叙述中生成的幽默评论，使用ChatGPT-4o模型创建，并根据讽刺程度和五种幽默类别（黑色幽默、讽刺、社会评论、文字游戏和荒诞性）进行标注。该数据集支持多种语言，包括英语和印度地方语言，提供了分析幽默与虚假信息交织的新基础。通过建立强基线，DHD为未来的欺骗性幽默检测模型研究奠定了基础，推动了这一新兴研究方向的发展。,3
