公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,行业大佬,URL
机器之心,2025-03-27 11:47:51,外媒：英伟达将收购贾扬清创业公司Lepton AI，交易价值数亿美元,英伟达收购Lepton AI，进一步拓展AI云基础设施市场,英伟达计划收购AI创业公司Lepton AI，交易价值数亿美元。Lepton AI由贾扬清等人创立，专注于为AI时代构建新型基础设施，旨在简化AI模型的构建与部署。此次收购标志着英伟达在云计算和企业软件市场的进一步扩展，Lepton AI的产品包括Python SDK和云计算平台，支持开发者快速部署AI模型。贾扬清是AI领域的重要人物，曾在多个知名机构工作并参与多个关键项目的开发。,Other,"Google, Meta, Alibaba",贾扬清,https://mp.weixin.qq.com/s/uRrgVZCxyiZQZNdDv2XrvQ
机器之心,2025-03-27 11:47:51,把MLA和稀疏激活带到端侧！港科大广州和伦敦大学学院团队联合发布软硬协同设计的边缘语言模型PLM,软硬协同设计的边缘语言模型PLM的发布,本文介绍了由香港科技大学（广州）和伦敦大学学院团队联合发布的边缘语言模型PLM。该模型通过算法与系统的协同设计，结合MLA注意力机制与ReLU²激活函数，旨在解决大模型在边缘设备上的应用问题。PLM在通用知识理解和代码能力评测中表现优异，且在多种边缘设备上展现出良好的性能。团队还计划开源模型权重及相关技术报告。,LLM,Other,"倪明选, 汪军, 陈雷, 邓程",https://mp.weixin.qq.com/s/pYgU8tDZVjfemA8hosSEFg
新智元,2025-03-27 11:05:30,2025「数学界诺奖」阿贝尔奖公布！78岁日本数学巨匠重塑对称理论摘桂冠,2025阿贝尔奖颁发给日本数学家柏原正树,2025年阿贝尔奖授予78岁的日本数学家柏原正树，以表彰他在代数分析和表示论领域的基础贡献，特别是D-模理论和晶体基结构的发现。柏原在23岁时便提出D-模理论的雏形，并在其后数十年中通过与70位数学家的合作，发表了250多篇重要论文，极大地推动了数学对称性理论的发展。他的成就为代数分析开辟了新视角，并激励了全球的研究者。,Other,Other,Masaki Kashiwara,https://mp.weixin.qq.com/s/f6HW-8NuOsHkOYPNm-uDRg
量子位,2025-03-27 11:00:39,蚂蚁国产GPU训练大模型细节曝光！Ling模型研发负责人回应：关于我们抠FLOPS的一些点滴,蚂蚁Ling模型训练大模型的技术细节与经验分享,蚂蚁Ling模型研发负责人张志强在知乎上分享了关于国产GPU训练大模型的经验和教训，回应了外界对其训练成本的误解。文章详细介绍了两款MoE大模型在国产GPU上与英伟达同效的训练能力，并探讨了训练正确性对齐、Router TP bug修复等技术细节。张志强强调国产加速卡的训练成本与GPU相当，甚至更低，并呼吁社区共同推动技术进步。,LLM,Other,张志强,https://mp.weixin.qq.com/s/pX7o-vSIPhLV1BnZ3UFikQ
量子位,2025-03-27 11:00:39,你的美图App，在CVPR技术5连秀,美图在CVPR 2025的图像编辑技术成果,美图在CVPR 2025上展示了其在图像编辑领域的五篇技术论文，涵盖生成式AI、交互式分割和3D重建等方面。这些研究成果包括无痕改字、基于语义的局部编辑和高质量的3D重建技术，已在美图旗下多个应用中上线。美图影像研究院与清华大学、新加坡国立大学等合作，推动了技术的进步，并在电商设计和图像处理等领域取得了显著的市场表现。,Diffusion Model,THU,None,https://mp.weixin.qq.com/s/ghOoeLFho2SrUep2e5_Y1Q
新智元,2025-03-27 12:52:06,英特尔前CEO找到新工作！掌舵AI+信仰公司Gloo，还要制作激光器,帕特·基辛格加入Gloo与Playground Global，专注AI与深科技投资,前英特尔CEO帕特·基辛格（Pat Gelsinger）宣布加入AI初创公司Gloo担任执行董事长及技术负责人，并成为风险投资公司Playground Global的普通合伙人。Gelsinger在Gloo将推动信仰领域的垂直云平台及符合价值观的AI技术，同时在Playground Global专注于半导体、量子计算等深科技投资。他认为科技应造福人类，并致力于推动深度科技的发展。文章还提到Gelsinger对量子计算的兴趣以及Playground在生物工程领域的投资。,Other,Other,"Pat Gelsinger, Andy Rubin",https://mp.weixin.qq.com/s/8rMH5Pk0Fb72BTceugIfzw
新智元,2025-03-27 12:52:06,vivo官宣进军家庭机器人，百万年薪抢人才！网友：科幻将走进现实,vivo进军家庭机器人领域，成立机器人Lab并高薪招募人才,vivo近日宣布成立机器人Lab，正式进军家庭机器人市场，显示出其在机器人行业的强大决心和技术底蕴。作为博鳌亚洲论坛的战略合作伙伴，vivo将利用其在AI和影像领域的技术积累，开发个人和家庭场景的机器人产品，并开出百万年薪招募高端人才。此举可能重写机器人行业的游戏规则，开启千亿级市场的潜力。,Embodied AI,Other,None,https://mp.weixin.qq.com/s/HiMiSwHsi0blZ3dObU5Dag
新智元,2025-03-27 12:52:06,贾扬清创业2年，老黄砸重金收购！AI框架缔造者或卖出数亿美金,英伟达收购Lepton AI，贾扬清创业公司交易价值数亿美元,英伟达计划以数亿美元收购贾扬清创办的初创公司Lepton AI，后者专注于提供基于英伟达芯片的云服务。Lepton AI成立仅两年，主要业务为出租GPU服务器，旨在帮助企业快速部署AI应用。此次收购是英伟达应对亚马逊和谷歌等竞争对手压力的一部分，标志着其向云计算和企业软件市场的战略转型。,Other,"Meta, Google, Alibaba",贾扬清,https://mp.weixin.qq.com/s/ZOBpcD1s2LP1AsfOonX_5w
机器之心,2025-03-27 12:30:52,OpenAI最新官宣：Agent SDK支持MCP协议,OpenAI宣布Agent SDK支持MCP协议,OpenAI近日宣布其Agent SDK已开始支持MCP（模型上下文协议），这一开放标准旨在实现大语言模型与外部数据源及工具的无缝集成。Anthropic首席产品官Mike Krieger对此表示欢迎，认为MCP将降低开发成本并提升用户体验。MCP的推出旨在解决AI模型与数据隔离的问题，提供一种标准化的连接方式。OpenAI计划在未来几个月内分享更多关于MCP的信息。,Agent,OpenAI,Mike Krieger,https://mp.weixin.qq.com/s/qeg5Q_FoQlVxeFaJ6vi4Og
机器之心,2025-03-27 12:30:52,2025苹果AI学者名单公布，黄子琪、孔令东、北大吉嘉铭、清华顾煜贤等12位年轻华人入选,2025苹果AI学者名单公布,苹果机器学习研究中心近日公布了2025年AI领域的苹果学者名单，共有21位年轻学者获得奖学金，其中华人学者占一半以上。该奖学金旨在支持计算机科学与工程领域的博士研究生，获奖者不仅获得资助，还能获得实习机会和学术指导。文章介绍了部分获奖学者的研究方向和背景，涵盖人机交互、混合现实、语言模型等多个领域。,Other,Other,"黄子琪, 孔令东, 吉嘉铭, 顾煜贤, Tiancheng Hu, Cathy Mengying Fang, Ruei-Che Chang",https://mp.weixin.qq.com/s/rNeJlwU2AXj9Kj5-DfzVeg
机器之心,2025-03-27 12:30:52,这AI绝对偷了格莱美奖杯！直接把LLaMA喂成乐坛顶流：开源版Suno来了！,YuE: 开源音乐生成模型的创新与应用,本文介绍了YuE，一个开源的音乐生成模型，能够生成长达5分钟的歌曲及专业级歌声和伴奏。YuE结合了双LLaMA语言模型架构，通过独特的Next-Token Prediction策略实现了歌声合成与音乐生成的联合建模，显著提高了生成效果。该模型自发布以来在GitHub上获得了广泛关注，展示了其在音乐创作领域的潜力和优势。,Multimodal LLM,Other,None,https://mp.weixin.qq.com/s/cbaefgtaVFmtlHfDvQtTYA
机器之心,2025-03-27 12:30:52,造手机的vivo，进军机器人了,vivo正式进军机器人领域，聚焦家庭机器人市场,vivo在博鳌亚洲论坛上宣布成立「vivo 机器人 Lab」，正式进军机器人行业，致力于开发面向家庭的机器人产品。公司希望利用其在AI和影像领域的技术积累，构建机器人的「大脑」和「眼睛」，实现家庭服务、养老、医疗健康等多场景应用。vivo执行副总裁胡柏山表示，机器人将成为连接物理世界与数字世界的桥梁，并计划在未来三到五年内推出原型机。,Embodied AI,Other,胡柏山,https://mp.weixin.qq.com/s/a7-Sch6mpOSvg6kQTAXfuw
新智元,2025-03-27 18:29:01,安卓突然终止「开源」，开发者遭背叛？社区炸锅了,谷歌调整Android开源项目开发模式,谷歌宣布将改变Android开源项目（AOSP）的开发模式，转向私有环境进行开发，但仍会保持代码的开源性。这一变化对普通用户影响不大，但让科技爱好者失去了对安卓内部的部分了解。尽管如此，主流手机厂商仍可通过与谷歌的合作协议获取最新的Android源代码。谷歌的这一决定反映了维护开源项目的复杂性和成本的增加。,Other,Google,None,https://mp.weixin.qq.com/s/aGzir_kRRiPUKrQP8HTXGw
